node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;4.8157;0;0;3;1
STA_A1;1;A;5.8283;11.8204;9.9378;0;0;3;0
STA_A2;1;A;1.0828;7.5176;8.845;0;0;3;0
STA_A3;1;A;8.0963;7.5271;4.4449;0;0;3;0
STA_A4;1;A;8.4566;5.0594;9.0471;0;0;3;0
STA_A5;1;A;-1.2543;6.2118;3.2962;0;0;3;0
STA_A6;1;A;14.5859;0.157;3.1961;0;0;3;0
STA_A7;1;A;11.4838;-0.9847;4.955;0;0;3;0
STA_A8;1;A;2.2576;0.6721;9.6441;0;0;3;0
STA_A9;1;A;7.4089;-3.7482;4.6551;0;0;3;0
STA_A10;1;A;9.3447;8.6474;5.3008;0;0;3;0
STA_A11;1;A;-0.02;6.7393;9.7085;0;0;3;0
STA_A12;1;A;12.8763;11.3463;6.7897;0;0;3;0
STA_A13;1;A;4.4823;1.2121;5.9371;0;0;3;0
STA_A14;1;A;3.6628;9.3468;6.4402;0;0;3;0
STA_A15;1;A;3.9477;-2.1343;5.972;0;0;3;0
AP_B;0;B;18.75;5.0;8.3987;0;0;3;1
STA_B1;1;B;24.4364;4.0746;3.738;0;0;3;0
STA_B2;1;B;16.1499;14.2192;9.8571;0;0;3;0
STA_B3;1;B;8.9548;6.1165;8.4403;0;0;3;0
STA_B4;1;B;14.1102;-1.4016;9.712;0;0;3;0
STA_B5;1;B;26.0373;9.8582;9.4335;0;0;3;0
STA_B6;1;B;18.942;9.6305;5.5067;0;0;3;0
STA_B7;1;B;19.6919;-0.8165;7.831;0;0;3;0
STA_B8;1;B;23.687;-1.4647;6.7086;0;0;3;0
STA_B9;1;B;10.8993;-0.5213;4.4507;0;0;3;0
STA_B10;1;B;24.3749;7.7327;7.2639;0;0;3;0
STA_B11;1;B;24.6595;-2.4437;5.5214;0;0;3;0
AP_C;0;C;31.25;5.0;3.4533;6;6;7;1
STA_C1;1;C;25.6383;9.0788;9.7399;6;6;7;0
STA_C2;1;C;32.6724;1.3483;9.3769;6;6;7;0
STA_C3;1;C;34.6957;1.6596;4.5822;6;6;7;0
STA_C4;1;C;31.4016;0.7682;6.4704;6;6;7;0
STA_C5;1;C;28.7362;7.6015;4.0731;6;6;7;0
STA_C6;1;C;35.2306;8.6069;3.0551;6;6;7;0
STA_C7;1;C;23.5056;3.1208;8.3496;6;6;7;0
STA_C8;1;C;26.8644;3.2029;4.4498;6;6;7;0
STA_C9;1;C;25.8748;-3.0387;9.1617;6;6;7;0
STA_C10;1;C;38.1237;5.0815;4.7751;6;6;7;0
AP_D;0;D;43.75;5.0;6.9774;2;2;3;1
STA_D1;1;D;52.5569;3.3097;8.092;2;2;3;0
STA_D2;1;D;40.8594;10.3918;5.999;2;2;3;0
STA_D3;1;D;45.6827;1.7115;4.4372;2;2;3;0
STA_D4;1;D;34.61;8.5881;5.7947;2;2;3;0
STA_D5;1;D;46.7344;2.502;5.5779;2;2;3;0
STA_D6;1;D;49.2413;12.7072;9.4882;2;2;3;0
STA_D7;1;D;41.4449;0.2713;5.0223;2;2;3;0
STA_D8;1;D;40.8635;-1.7596;4.242;2;2;3;0
STA_D9;1;D;36.0984;8.7897;4.9575;2;2;3;0
STA_D10;1;D;36.3131;4.7266;3.1249;2;2;3;0
STA_D11;1;D;42.7479;5.3379;8.1693;2;2;3;0
STA_D12;1;D;48.439;1.2771;7.5001;2;2;3;0
STA_D13;1;D;35.4824;4.7677;3.0146;2;2;3;0
AP_E;0;E;6.25;15.0;9.1257;0;0;7;1
STA_E1;1;E;8.9662;7.8031;6.0319;0;0;7;0
STA_E2;1;E;2.7518;10.6957;3.2946;0;0;7;0
STA_E3;1;E;7.1684;7.6811;7.1993;0;0;7;0
STA_E4;1;E;2.9315;10.0106;9.0131;0;0;7;0
STA_E5;1;E;2.6989;24.1854;9.4368;0;0;7;0
STA_E6;1;E;10.6018;20.9074;3.1099;0;0;7;0
STA_E7;1;E;11.518;8.8194;3.1349;0;0;7;0
STA_E8;1;E;4.4193;19.2609;8.5432;0;0;7;0
STA_E9;1;E;11.2183;9.4345;7.5898;0;0;7;0
STA_E10;1;E;11.9391;7.73;8.5761;0;0;7;0
STA_E11;1;E;-2.487;15.0819;8.7214;0;0;7;0
STA_E12;1;E;4.5184;22.7895;9.5771;0;0;7;0
STA_E13;1;E;-2.0771;12.6314;9.9657;0;0;7;0
STA_E14;1;E;9.8348;8.2855;4.5854;0;0;7;0
STA_E15;1;E;3.5955;8.8605;8.0148;0;0;7;0
AP_F;0;F;18.75;15.0;8.0875;0;0;7;1
STA_F1;1;F;26.0474;21.3316;8.3463;0;0;7;0
STA_F2;1;F;23.6463;21.4383;4.3789;0;0;7;0
STA_F3;1;F;15.1075;10.1791;3.2777;0;0;7;0
STA_F4;1;F;16.7185;20.1833;5.5961;0;0;7;0
STA_F5;1;F;17.7823;5.1543;4.1589;0;0;7;0
STA_F6;1;F;12.8239;21.6365;8.7939;0;0;7;0
STA_F7;1;F;26.4088;10.774;6.7771;0;0;7;0
STA_F8;1;F;17.3084;9.0559;4.8923;0;0;7;0
STA_F9;1;F;18.8558;13.1417;7.3703;0;0;7;0
STA_F10;1;F;10.9845;19.7959;7.9851;0;0;7;0
STA_F11;1;F;22.3557;6.1885;3.96;0;0;7;0
STA_F12;1;F;20.2726;22.7089;8.1826;0;0;7;0
AP_G;0;G;31.25;15.0;4.2545;0;0;3;1
STA_G1;1;G;30.2916;20.1145;9.8037;0;0;3;0
STA_G2;1;G;25.7026;14.6092;7.7999;0;0;3;0
STA_G3;1;G;39.1182;11.9826;7.723;0;0;3;0
STA_G4;1;G;32.2591;5.9205;8.7855;0;0;3;0
STA_G5;1;G;28.2797;21.6378;8.2382;0;0;3;0
STA_G6;1;G;36.0467;7.2364;4.5184;0;0;3;0
STA_G7;1;G;28.8542;11.579;7.2046;0;0;3;0
STA_G8;1;G;33.6227;7.7319;6.1843;0;0;3;0
STA_G9;1;G;34.9239;18.5088;4.8512;0;0;3;0
STA_G10;1;G;27.5969;6.8053;6.3116;0;0;3;0
STA_G11;1;G;29.8701;21.2602;3.9527;0;0;3;0
STA_G12;1;G;24.8991;8.7954;7.7446;0;0;3;0
STA_G13;1;G;22.8325;13.8889;8.0628;0;0;3;0
STA_G14;1;G;36.5333;22.7862;8.077;0;0;3;0
STA_G15;1;G;35.3076;23.8779;4.6345;0;0;3;0
AP_H;0;H;43.75;15.0;3.6704;0;0;7;1
STA_H1;1;H;43.6472;9.1106;6.305;0;0;7;0
STA_H2;1;H;50.7438;10.5292;7.2702;0;0;7;0
STA_H3;1;H;42.7083;21.4167;8.4431;0;0;7;0
STA_H4;1;H;40.3855;6.9674;4.4898;0;0;7;0
STA_H5;1;H;39.4067;11.3387;5.4497;0;0;7;0
STA_H6;1;H;47.2723;13.5225;4.5497;0;0;7;0
STA_H7;1;H;41.4396;19.0232;3.7061;0;0;7;0
STA_H8;1;H;35.0165;17.5589;5.0123;0;0;7;0
