node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;7.6364;0;0;3;1
STA_A1;1;A;3.4207;-1.401;6.3095;0;0;3;0
STA_A2;1;A;10.252;-2.3424;8.1323;0;0;3;0
STA_A3;1;A;12.4495;-1.7067;6.5336;0;0;3;0
STA_A4;1;A;9.6775;-2.4906;3.59;0;0;3;0
STA_A5;1;A;7.3907;9.4304;3.0652;0;0;3;0
STA_A6;1;A;3.6559;12.5057;3.295;0;0;3;0
STA_A7;1;A;5.1178;0.5705;8.9535;0;0;3;0
STA_A8;1;A;2.7154;3.3345;4.5487;0;0;3;0
STA_A9;1;A;5.9212;11.1129;4.8368;0;0;3;0
STA_A10;1;A;6.0096;14.9693;4.431;0;0;3;0
STA_A11;1;A;7.0497;-3.706;9.8919;0;0;3;0
STA_A12;1;A;8.2364;6.2076;7.3102;0;0;3;0
STA_A13;1;A;-1.0605;10.231;6.1489;0;0;3;0
STA_A14;1;A;10.2116;-0.8898;6.8121;0;0;3;0
STA_A15;1;A;4.8082;12.0485;8.2876;0;0;3;0
STA_A16;1;A;8.3375;1.7214;7.9193;0;0;3;0
STA_A17;1;A;0.2688;-0.7303;3.5936;0;0;3;0
AP_B;0;B;18.75;5.0;7.9382;0;0;3;1
STA_B1;1;B;22.0857;6.2813;8.5293;0;0;3;0
STA_B2;1;B;10.3802;4.2301;9.4107;0;0;3;0
STA_B3;1;B;19.7511;-0.9166;9.9768;0;0;3;0
STA_B4;1;B;21.787;11.8844;7.6008;0;0;3;0
STA_B5;1;B;11.2981;4.8846;8.9646;0;0;3;0
STA_B6;1;B;17.7785;0.7205;9.8967;0;0;3;0
STA_B7;1;B;22.1823;-2.6515;5.1765;0;0;3;0
STA_B8;1;B;13.2808;7.1193;3.7306;0;0;3;0
STA_B9;1;B;12.6546;9.4799;5.9395;0;0;3;0
STA_B10;1;B;24.1413;9.2613;8.3389;0;0;3;0
STA_B11;1;B;25.3166;9.1014;7.2393;0;0;3;0
AP_C;0;C;31.25;5.0;7.3086;6;6;7;1
STA_C1;1;C;35.015;6.4989;7.3155;6;6;7;0
STA_C2;1;C;39.1221;2.2494;5.6615;6;6;7;0
STA_C3;1;C;34.6575;11.4857;6.9817;6;6;7;0
STA_C4;1;C;34.3366;0.5674;4.9805;6;6;7;0
STA_C5;1;C;31.6469;10.077;6.3374;6;6;7;0
STA_C6;1;C;22.0153;8.5477;4.5353;6;6;7;0
STA_C7;1;C;27.6743;8.9097;6.3168;6;6;7;0
STA_C8;1;C;38.1229;2.8777;4.9077;6;6;7;0
STA_C9;1;C;30.3299;7.5671;5.1535;6;6;7;0
AP_D;0;D;43.75;5.0;3.1331;0;0;3;1
STA_D1;1;D;37.8884;1.1597;4.7469;0;0;3;0
STA_D2;1;D;50.3565;10.3348;3.2144;0;0;3;0
STA_D3;1;D;38.4997;8.9969;5.9468;0;0;3;0
STA_D4;1;D;39.5313;-3.1277;8.2249;0;0;3;0
STA_D5;1;D;45.6233;1.0658;6.2198;0;0;3;0
STA_D6;1;D;35.2409;9.6198;8.1883;0;0;3;0
STA_D7;1;D;38.0334;8.3473;4.9305;0;0;3;0
STA_D8;1;D;38.361;8.7539;8.1164;0;0;3;0
STA_D9;1;D;48.1042;-3.5775;9.002;0;0;3;0
STA_D10;1;D;40.1892;6.4238;3.0634;0;0;3;0
STA_D11;1;D;46.8771;7.993;5.6617;0;0;3;0
STA_D12;1;D;47.0169;-0.9837;7.3353;0;0;3;0
STA_D13;1;D;44.4786;0.3378;9.7761;0;0;3;0
AP_E;0;E;6.25;15.0;3.0209;0;0;7;1
STA_E1;1;E;8.0335;14.0157;7.2802;0;0;7;0
STA_E2;1;E;14.2147;17.5766;6.0826;0;0;7;0
STA_E3;1;E;8.7867;19.5979;7.0584;0;0;7;0
STA_E4;1;E;12.5386;16.2501;8.0563;0;0;7;0
STA_E5;1;E;6.8072;22.7739;6.4722;0;0;7;0
STA_E6;1;E;8.4725;11.7618;4.4124;0;0;7;0
STA_E7;1;E;15.8036;15.132;4.2465;0;0;7;0
STA_E8;1;E;5.4251;22.0012;5.0565;0;0;7;0
STA_E9;1;E;7.3055;19.4501;5.611;0;0;7;0
STA_E10;1;E;6.0712;6.8559;4.4106;0;0;7;0
STA_E11;1;E;3.3377;6.8024;6.0041;0;0;7;0
STA_E12;1;E;-1.5515;10.8491;8.6934;0;0;7;0
STA_E13;1;E;12.3724;12.4885;7.8857;0;0;7;0
STA_E14;1;E;16.128;14.9222;6.7806;0;0;7;0
