node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;6.6798;0;0;3;1
STA_A1;1;A;3.3351;13.0019;5.7433;0;0;3;0
STA_A2;1;A;12.7774;11.4571;7.0505;0;0;3;0
STA_A3;1;A;10.0813;1.7887;8.9959;0;0;3;0
STA_A4;1;A;4.7846;-0.0761;4.9568;0;0;3;0
STA_A5;1;A;11.7544;8.8687;4.3914;0;0;3;0
STA_A6;1;A;11.1958;-3.6858;3.9982;0;0;3;0
STA_A7;1;A;-0.1697;-2.186;4.8123;0;0;3;0
STA_A8;1;A;8.8917;10.5148;3.8095;0;0;3;0
STA_A9;1;A;4.5318;-1.7821;7.8653;0;0;3;0
STA_A10;1;A;9.5062;8.4641;6.9758;0;0;3;0
STA_A11;1;A;15.449;4.9874;6.2911;0;0;3;0
AP_B;0;B;18.75;5.0;6.9264;6;6;7;1
STA_B1;1;B;9.7862;2.7407;6.7662;6;6;7;0
STA_B2;1;B;25.9231;4.4722;3.6276;6;6;7;0
STA_B3;1;B;16.7547;-0.9295;4.9664;6;6;7;0
STA_B4;1;B;10.0302;9.1197;3.2624;6;6;7;0
STA_B5;1;B;20.7284;0.8004;9.1156;6;6;7;0
STA_B6;1;B;18.9109;0.6504;9.1291;6;6;7;0
STA_B7;1;B;16.7558;1.3534;8.9634;6;6;7;0
STA_B8;1;B;19.7882;-2.2152;8.6565;6;6;7;0
STA_B9;1;B;17.248;1.3325;4.7832;6;6;7;0
STA_B10;1;B;23.5874;12.0675;5.0498;6;6;7;0
STA_B11;1;B;17.2017;2.9575;9.7224;6;6;7;0
STA_B12;1;B;15.8209;0.2836;9.2469;6;6;7;0
STA_B13;1;B;11.7554;5.9353;8.6463;6;6;7;0
STA_B14;1;B;28.2985;4.7261;7.546;6;6;7;0
STA_B15;1;B;18.3076;-2.4684;7.6605;6;6;7;0
STA_B16;1;B;22.8151;3.9769;4.9134;6;6;7;0
