node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;7.4397;6;6;7;1
STA_A1;1;A;2.4276;-1.7735;8.3;6;6;7;0
STA_A2;1;A;5.4717;11.8143;6.3351;6;6;7;0
STA_A3;1;A;-1.1367;10.7652;5.5204;6;6;7;0
STA_A4;1;A;3.4321;1.8628;7.8315;6;6;7;0
STA_A5;1;A;14.6656;9.4073;5.0818;6;6;7;0
STA_A6;1;A;7.6944;14.2371;8.9393;6;6;7;0
STA_A7;1;A;-0.0895;8.261;8.4892;6;6;7;0
STA_A8;1;A;-3.3025;2.2035;5.373;6;6;7;0
STA_A9;1;A;11.745;-2.1281;9.45;6;6;7;0
STA_A10;1;A;11.6723;3.6398;9.5006;6;6;7;0
AP_B;0;B;18.75;5.0;8.0318;6;6;7;1
STA_B1;1;B;9.7509;0.922;3.1046;6;6;7;0
STA_B2;1;B;12.9744;4.8944;6.6859;6;6;7;0
STA_B3;1;B;16.8924;12.6697;7.2188;6;6;7;0
STA_B4;1;B;21.4801;12.9442;5.9565;6;6;7;0
STA_B5;1;B;16.7539;-0.2412;6.4588;6;6;7;0
STA_B6;1;B;21.231;9.4348;7.5915;6;6;7;0
STA_B7;1;B;11.3708;5.2843;3.1619;6;6;7;0
STA_B8;1;B;25.5171;-0.7626;6.8531;6;6;7;0
STA_B9;1;B;15.7406;13.2757;6.1033;6;6;7;0
STA_B10;1;B;18.8566;14.1442;9.0688;6;6;7;0
STA_B11;1;B;16.97;14.5075;5.572;6;6;7;0
STA_B12;1;B;20.1982;8.2328;8.1682;6;6;7;0
STA_B13;1;B;26.4107;9.2727;3.9532;6;6;7;0
AP_C;0;C;31.25;5.0;7.494;0;0;3;1
STA_C1;1;C;32.195;-3.7992;9.9775;0;0;3;0
STA_C2;1;C;37.1931;10.3676;3.2335;0;0;3;0
STA_C3;1;C;28.6717;5.8805;6.1909;0;0;3;0
STA_C4;1;C;34.4548;8.9634;6.4238;0;0;3;0
