node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;3.0069;4;4;5;1
STA_A1;1;A;7.838;2.4542;6.8398;4;4;5;0
STA_A2;1;A;4.1471;6.7891;6.0621;4;4;5;0
STA_A3;1;A;2.0055;-2.546;6.733;4;4;5;0
STA_A4;1;A;11.1311;-3.0502;4.8984;4;4;5;0
STA_A5;1;A;2.6462;-0.1078;6.3473;4;4;5;0
STA_A6;1;A;-1.2686;3.6495;7.0862;4;4;5;0
STA_A7;1;A;13.5665;7.8442;5.3986;4;4;5;0
STA_A8;1;A;4.9943;10.0716;8.2111;4;4;5;0
AP_B;0;B;18.75;5.0;8.6917;0;0;3;1
STA_B1;1;B;14.7833;-0.4958;6.5772;0;0;3;0
STA_B2;1;B;23.3631;3.5008;3.5719;0;0;3;0
STA_B3;1;B;19.0182;-1.4704;4.1528;0;0;3;0
STA_B4;1;B;26.7164;6.5121;3.1985;0;0;3;0
STA_B5;1;B;25.9427;2.2371;9.9278;0;0;3;0
STA_B6;1;B;21.7695;1.6215;6.1085;0;0;3;0
STA_B7;1;B;12.6505;12.3642;5.9993;0;0;3;0
STA_B8;1;B;24.8157;0.3824;5.4113;0;0;3;0
STA_B9;1;B;19.8813;13.4003;3.7422;0;0;3;0
STA_B10;1;B;17.9275;0.5524;5.2814;0;0;3;0
STA_B11;1;B;25.1557;0.3146;6.0689;0;0;3;0
STA_B12;1;B;20.7994;-2.2058;7.7771;0;0;3;0
STA_B13;1;B;18.1498;10.6174;6.5356;0;0;3;0
STA_B14;1;B;25.2448;10.161;7.6196;0;0;3;0
STA_B15;1;B;21.6329;4.4366;4.051;0;0;3;0
AP_C;0;C;31.25;5.0;5.4829;4;4;5;1
STA_C1;1;C;38.9368;5.8093;5.1577;4;4;5;0
STA_C2;1;C;36.1391;12.8771;8.8573;4;4;5;0
STA_C3;1;C;30.8271;0.2825;9.9463;4;4;5;0
STA_C4;1;C;38.8856;2.1012;9.5464;4;4;5;0
STA_C5;1;C;37.7141;11.6491;6.4772;4;4;5;0
STA_C6;1;C;28.1727;-0.8434;8.3945;4;4;5;0
STA_C7;1;C;25.7554;6.9399;6.533;4;4;5;0
STA_C8;1;C;28.6737;9.9056;7.5567;4;4;5;0
STA_C9;1;C;33.523;9.2157;9.0051;4;4;5;0
STA_C10;1;C;36.7016;-1.9548;8.0554;4;4;5;0
STA_C11;1;C;31.9265;7.0256;5.0376;4;4;5;0
STA_C12;1;C;25.2327;7.6758;7.1687;4;4;5;0
AP_D;0;D;43.75;5.0;8.7062;0;0;7;1
STA_D1;1;D;39.2553;13.5126;6.0056;0;0;7;0
STA_D2;1;D;45.2801;14.6712;3.2378;0;0;7;0
STA_D3;1;D;36.5086;7.8989;4.5008;0;0;7;0
STA_D4;1;D;34.481;8.055;4.1212;0;0;7;0
STA_D5;1;D;50.6291;7.1204;6.1863;0;0;7;0
STA_D6;1;D;49.9169;9.532;6.1934;0;0;7;0
STA_D7;1;D;39.5052;12.886;6.2828;0;0;7;0
STA_D8;1;D;49.3755;4.0855;4.322;0;0;7;0
STA_D9;1;D;39.7001;12.2086;7.2652;0;0;7;0
STA_D10;1;D;42.0868;11.0521;3.511;0;0;7;0
STA_D11;1;D;51.2739;1.1976;4.2556;0;0;7;0
STA_D12;1;D;37.7107;12.6568;5.191;0;0;7;0
STA_D13;1;D;47.6603;13.6135;8.9851;0;0;7;0
STA_D14;1;D;47.7661;10.8076;6.0804;0;0;7;0
AP_E;0;E;6.25;15.0;3.0103;2;2;3;1
STA_E1;1;E;12.1306;19.19;5.0713;2;2;3;0
STA_E2;1;E;5.3445;10.7432;8.7858;2;2;3;0
STA_E3;1;E;11.0454;22.7113;4.063;2;2;3;0
STA_E4;1;E;-3.1576;12.0618;7.9322;2;2;3;0
STA_E5;1;E;13.3054;21.481;3.4849;2;2;3;0
STA_E6;1;E;9.6706;13.9447;3.8522;2;2;3;0
STA_E7;1;E;10.2373;17.7288;8.0667;2;2;3;0
STA_E8;1;E;-2.3401;16.645;6.8706;2;2;3;0
STA_E9;1;E;5.3367;20.8833;5.2829;2;2;3;0
STA_E10;1;E;10.7479;21.2713;8.815;2;2;3;0
STA_E11;1;E;4.9389;14.8249;8.0508;2;2;3;0
STA_E12;1;E;4.0637;5.4648;7.6723;2;2;3;0
