node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;7.0714;0;0;7;1
STA_A1;1;A;1.7314;-1.9001;8.2103;0;0;7;0
STA_A2;1;A;14.604;6.7907;9.4766;0;0;7;0
STA_A3;1;A;12.8895;4.6563;9.2829;0;0;7;0
STA_A4;1;A;9.7472;13.2563;3.325;0;0;7;0
STA_A5;1;A;-2.4097;0.679;5.8518;0;0;7;0
STA_A6;1;A;8.9086;6.9852;9.5734;0;0;7;0
STA_A7;1;A;6.9631;-2.7707;8.4777;0;0;7;0
STA_A8;1;A;6.5109;12.8263;8.6327;0;0;7;0
STA_A9;1;A;9.7973;14.2807;7.8725;0;0;7;0
STA_A10;1;A;3.3327;-0.6979;3.9033;0;0;7;0
STA_A11;1;A;8.5762;10.791;7.0041;0;0;7;0
STA_A12;1;A;2.34;9.1522;6.2045;0;0;7;0
STA_A13;1;A;5.6088;11.1696;6.9013;0;0;7;0
AP_B;0;B;18.75;5.0;4.4893;0;0;3;1
STA_B1;1;B;21.7679;7.3031;6.5711;0;0;3;0
STA_B2;1;B;14.635;13.491;8.0772;0;0;3;0
STA_B3;1;B;23.8171;7.8275;7.6087;0;0;3;0
STA_B4;1;B;11.2485;1.8264;3.5899;0;0;3;0
STA_B5;1;B;21.5329;12.209;3.0315;0;0;3;0
STA_B6;1;B;26.7993;5.9741;6.4923;0;0;3;0
STA_B7;1;B;25.9059;2.3464;7.0167;0;0;3;0
STA_B8;1;B;24.3251;0.2821;4.7565;0;0;3;0
STA_B9;1;B;12.5221;8.2216;7.1675;0;0;3;0
STA_B10;1;B;20.5272;2.419;7.5654;0;0;3;0
STA_B11;1;B;16.1642;3.0555;7.8626;0;0;3;0
STA_B12;1;B;14.3912;-3.3356;6.4975;0;0;3;0
STA_B13;1;B;15.5806;-1.6538;9.283;0;0;3;0
STA_B14;1;B;14.5489;9.6319;8.7907;0;0;3;0
STA_B15;1;B;18.1501;-0.8549;9.7034;0;0;3;0
STA_B16;1;B;28.5156;4.6375;6.6477;0;0;3;0
STA_B17;1;B;17.0951;3.8184;3.3565;0;0;3;0
STA_B18;1;B;17.8717;-3.3925;8.119;0;0;3;0
STA_B19;1;B;17.6351;0.8588;3.7514;0;0;3;0
STA_B20;1;B;18.5441;11.9899;8.2124;0;0;3;0
AP_C;0;C;31.25;5.0;4.0619;0;0;7;1
STA_C1;1;C;38.0288;6.9629;9.4108;0;0;7;0
STA_C2;1;C;24.5366;-2.0838;9.8422;0;0;7;0
STA_C3;1;C;37.9962;-1.5519;5.4563;0;0;7;0
STA_C4;1;C;24.6147;9.7954;5.114;0;0;7;0
STA_C5;1;C;40.3982;8.6631;4.1365;0;0;7;0
STA_C6;1;C;30.6977;-0.509;6.9191;0;0;7;0
STA_C7;1;C;36.4394;0.4963;8.4236;0;0;7;0
