node_code;node_type;wlan_code;x(m);y(m);z(m);max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;7.0538;3;1
STA_A1;1;A;4.4929;-2.7784;9.6172;3;0
STA_A2;1;A;1.0415;9.4583;4.145;3;0
STA_A3;1;A;-1.9248;10.562;3.874;3;0
STA_A4;1;A;11.3649;2.0064;6.9015;3;0
STA_A5;1;A;6.4132;10.5432;9.9806;3;0
STA_A6;1;A;8.748;7.081;4.5006;3;0
STA_A7;1;A;5.0783;10.7861;5.5495;3;0
STA_A8;1;A;1.9913;12.8189;7.7045;3;0
STA_A9;1;A;7.8423;1.2993;4.413;3;0
STA_A10;1;A;7.4218;4.2385;7.7207;3;0
STA_A11;1;A;14.2045;3.5843;3.0073;3;0
STA_A12;1;A;4.3046;10.0891;9.0881;3;0
STA_A13;1;A;12.6812;11.5025;8.9024;3;0
STA_A14;1;A;0.3988;0.0411;3.9334;3;0
STA_A15;1;A;3.0005;9.8963;3.9495;3;0
AP_B;0;B;18.75;5.0;3.285;3;1
STA_B1;1;B;12.6042;-2.5148;5.538;3;0
STA_B2;1;B;24.3059;3.6392;5.0759;3;0
STA_B3;1;B;23.3462;8.0883;7.3697;3;0
STA_B4;1;B;15.7112;6.8086;6.5911;3;0
STA_B5;1;B;17.8367;2.0048;8.0532;3;0
STA_B6;1;B;15.9572;7.7976;3.9934;3;0
STA_B7;1;B;23.4725;4.3737;3.8099;3;0
STA_B8;1;B;17.2817;0.1869;3.4286;3;0
STA_B9;1;B;14.7174;6.3736;8.4137;3;0
STA_B10;1;B;22.9456;0.5639;6.0747;3;0
STA_B11;1;B;13.1318;4.5917;4.1027;3;0
STA_B12;1;B;23.5251;1.0057;9.7157;3;0
STA_B13;1;B;13.7406;6.0716;5.1836;3;0
STA_B14;1;B;13.0045;1.0889;8.6755;3;0
STA_B15;1;B;15.5608;10.0011;6.0341;3;0
STA_B16;1;B;10.6298;-0.708;8.7265;3;0
STA_B17;1;B;22.2141;-4.241;7.2258;3;0
STA_B18;1;B;20.6267;-3.992;7.7005;3;0
STA_B19;1;B;24.5652;11.0842;3.6321;3;0
AP_C;0;C;31.25;5.0;8.3348;3;1
STA_C1;1;C;37.3535;9.3132;5.4376;3;0
STA_C2;1;C;30.3115;12.0108;8.1574;3;0
STA_C3;1;C;33.7599;3.6299;8.4007;3;0
STA_C4;1;C;24.5236;7.9247;3.6781;3;0
STA_C5;1;C;30.116;12.3066;4.147;3;0
STA_C6;1;C;31.4133;-0.3913;5.862;3;0
STA_C7;1;C;29.3113;-0.7818;5.7943;3;0
STA_C8;1;C;33.109;8.9526;8.3422;3;0
STA_C9;1;C;22.5692;0.6683;3.8723;3;0
AP_D;0;D;43.75;5.0;6.019;3;1
STA_D1;1;D;53.5232;4.0757;3.4541;3;0
STA_D2;1;D;46.6823;3.1975;8.1383;3;0
STA_D3;1;D;37.834;8.6294;3.6199;3;0
STA_D4;1;D;35.1249;8.4043;9.2148;3;0
STA_D5;1;D;47.0493;7.0931;4.1908;3;0
STA_D6;1;D;47.2628;10.1967;9.34;3;0
STA_D7;1;D;43.1897;-2.5357;7.3649;3;0
STA_D8;1;D;39.5185;2.4523;9.2346;3;0
STA_D9;1;D;52.9845;3.0755;6.8831;3;0
STA_D10;1;D;49.9251;11.9558;6.7708;3;0
STA_D11;1;D;39.299;5.1463;4.9699;3;0
STA_D12;1;D;44.9943;10.6657;6.9483;3;0
STA_D13;1;D;48.7467;3.2535;6.7012;3;0
STA_D14;1;D;48.5809;13.3353;6.3047;3;0
STA_D15;1;D;49.5714;8.5765;7.6348;3;0
STA_D16;1;D;40.7329;11.7658;7.7194;3;0
STA_D17;1;D;41.2303;14.5254;8.7415;3;0
STA_D18;1;D;52.0367;10.2464;5.0703;3;0
AP_E;0;E;6.25;15.0;3.1254;3;1
STA_E1;1;E;12.7181;11.7379;3.7686;3;0
STA_E2;1;E;12.0948;7.0935;6.7109;3;0
STA_E3;1;E;10.8564;23.5798;5.6413;3;0
STA_E4;1;E;2.2496;19.5484;7.6898;3;0
STA_E5;1;E;-2.1455;16.4624;5.9488;3;0
STA_E6;1;E;12.2243;13.5182;3.8225;3;0
STA_E7;1;E;9.6661;6.5105;6.7356;3;0
STA_E8;1;E;13.1618;21.5973;5.0214;3;0
STA_E9;1;E;4.0595;15.7992;6.8169;3;0
STA_E10;1;E;14.3558;10.8159;3.09;3;0
STA_E11;1;E;13.1808;20.3614;5.5655;3;0
STA_E12;1;E;13.2983;20.4364;8.4111;3;0
STA_E13;1;E;10.8605;18.6872;8.3627;3;0
STA_E14;1;E;11.6349;12.1962;4.4819;3;0
STA_E15;1;E;9.8656;11.1609;8.7482;3;0
STA_E16;1;E;4.0495;20.8646;8.2405;3;0
STA_E17;1;E;-1.2924;17.5665;9.6893;3;0
STA_E18;1;E;3.1767;19.748;9.4349;3;0
STA_E19;1;E;1.6798;9.0009;6.9438;3;0
STA_E20;1;E;-3.5412;13.7434;8.6356;3;0
AP_F;0;F;18.75;15.0;3.1933;7;1
STA_F1;1;F;11.2396;14.5575;3.0388;7;0
STA_F2;1;F;24.4723;12.7601;7.6032;7;0
