node_code;node_type;wlan_code;x(m);y(m);z(m);primary_channel;min_channel_allowed;max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;3.0158;0;0;1;1
STA_A1;1;A;1.6375;2.7401;6.0892;0;0;1;0
STA_A2;1;A;1.682;-2.383;4.6725;0;0;1;0
STA_A3;1;A;4.1208;8.0637;6.6997;0;0;1;0
STA_A4;1;A;0.0115;10.2266;7.6808;0;0;1;0
STA_A5;1;A;4.2085;3.7402;7.1401;0;0;1;0
STA_A6;1;A;-1.6308;4.9064;4.5656;0;0;1;0
STA_A7;1;A;13.2703;10.9327;3.6846;0;0;1;0
STA_A8;1;A;7.8041;3.7478;5.6387;0;0;1;0
STA_A9;1;A;3.051;14.0449;9.0901;0;0;1;0
STA_A10;1;A;4.8675;-2.4534;9.509;0;0;1;0
AP_B;0;B;18.75;5.0;8.1024;6;6;7;1
STA_B1;1;B;22.2592;12.0604;6.7498;6;6;7;0
STA_B2;1;B;14.8547;5.2686;8.2299;6;6;7;0
STA_B3;1;B;24.0545;7.3628;7.8379;6;6;7;0
STA_B4;1;B;13.6934;5.0231;8.6856;6;6;7;0
STA_B5;1;B;25.9187;4.438;9.3249;6;6;7;0
STA_B6;1;B;25.0535;10.0662;3.122;6;6;7;0
STA_B7;1;B;26.0931;8.3817;8.7643;6;6;7;0
STA_B8;1;B;19.5635;11.9915;9.6228;6;6;7;0
STA_B9;1;B;21.195;13.9374;5.3235;6;6;7;0
STA_B10;1;B;24.773;8.3444;9.7076;6;6;7;0
STA_B11;1;B;24.2691;5.0228;3.7291;6;6;7;0
STA_B12;1;B;12.6083;12.7752;4.1387;6;6;7;0
STA_B13;1;B;19.0669;13.4132;9.4892;6;6;7;0
STA_B14;1;B;15.8989;3.8694;7.1865;6;6;7;0
STA_B15;1;B;21.9285;7.2021;6.383;6;6;7;0
STA_B16;1;B;14.1351;5.2961;6.5897;6;6;7;0
STA_B17;1;B;27.0374;8.175;6.9681;6;6;7;0
STA_B18;1;B;15.1649;8.6318;4.5689;6;6;7;0
AP_C;0;C;31.25;5.0;8.2351;0;0;3;1
STA_C1;1;C;27.5051;13.917;5.2174;0;0;3;0
STA_C2;1;C;34.6169;6.0093;6.5663;0;0;3;0
STA_C3;1;C;32.8093;12.0189;5.7314;0;0;3;0
STA_C4;1;C;26.9445;10.263;9.7484;0;0;3;0
STA_C5;1;C;27.0641;-0.2944;8.6608;0;0;3;0
STA_C6;1;C;37.4886;4.8711;8.0488;0;0;3;0
STA_C7;1;C;23.2629;2.8446;6.5113;0;0;3;0
STA_C8;1;C;24.8104;-2.6372;7.1301;0;0;3;0
STA_C9;1;C;24.7041;5.262;6.0247;0;0;3;0
STA_C10;1;C;32.7477;10.5496;9.1354;0;0;3;0
STA_C11;1;C;34.1777;-0.0403;8.2309;0;0;3;0
STA_C12;1;C;36.3837;-2.6891;6.9179;0;0;3;0
STA_C13;1;C;29.9851;-4.7395;7.7755;0;0;3;0
STA_C14;1;C;38.5794;-1.2575;7.5227;0;0;3;0
STA_C15;1;C;25.1133;10.6042;7.1043;0;0;3;0
STA_C16;1;C;23.9689;1.503;6.8522;0;0;3;0
AP_D;0;D;43.75;5.0;6.0722;2;2;3;1
STA_D1;1;D;48.5664;11.7159;9.6398;2;2;3;0
STA_D2;1;D;43.9436;-1.9602;7.1523;2;2;3;0
STA_D3;1;D;42.0594;2.758;9.9172;2;2;3;0
STA_D4;1;D;42.3457;-2.7944;7.3154;2;2;3;0
STA_D5;1;D;44.7686;8.9321;7.7756;2;2;3;0
STA_D6;1;D;42.4223;3.8492;7.4822;2;2;3;0
STA_D7;1;D;46.1369;-3.7262;8.4025;2;2;3;0
STA_D8;1;D;49.3098;10.152;9.0861;2;2;3;0
STA_D9;1;D;44.0481;1.8641;5.9459;2;2;3;0
STA_D10;1;D;51.3722;1.6193;6.8588;2;2;3;0
AP_E;0;E;6.25;15.0;3.0725;4;4;5;1
STA_E1;1;E;4.2345;9.2765;8.9069;4;4;5;0
STA_E2;1;E;8.8266;22.9432;8.1665;4;4;5;0
STA_E3;1;E;-1.7523;11.5883;4.1514;4;4;5;0
STA_E4;1;E;1.23;6.4046;4.3834;4;4;5;0
STA_E5;1;E;7.9326;18.0679;3.9331;4;4;5;0
STA_E6;1;E;2.731;6.1653;9.8917;4;4;5;0
STA_E7;1;E;7.268;8.2897;6.3097;4;4;5;0
STA_E8;1;E;-0.831;16.0649;4.213;4;4;5;0
STA_E9;1;E;6.4851;8.8603;5.9656;4;4;5;0
STA_E10;1;E;3.1897;14.7382;9.9746;4;4;5;0
STA_E11;1;E;12.7606;9.5893;3.238;4;4;5;0
AP_F;0;F;18.75;15.0;8.8658;4;4;5;1
STA_F1;1;F;11.8262;18.4399;7.775;4;4;5;0
STA_F2;1;F;25.6768;21.7206;6.5062;4;4;5;0
STA_F3;1;F;14.2012;19.3162;9.0336;4;4;5;0
STA_F4;1;F;22.1364;8.3525;6.4831;4;4;5;0
STA_F5;1;F;23.0162;10.9147;5.3101;4;4;5;0
STA_F6;1;F;21.8028;10.0185;6.4271;4;4;5;0
STA_F7;1;F;8.9343;15.43;5.4856;4;4;5;0
STA_F8;1;F;22.479;19.7552;9.1801;4;4;5;0
STA_F9;1;F;21.6549;8.862;5.419;4;4;5;0
STA_F10;1;F;25.2825;12.7222;7.1686;4;4;5;0
AP_G;0;G;31.25;15.0;8.1162;4;4;5;1
STA_G1;1;G;26.1411;18.6061;7.8555;4;4;5;0
STA_G2;1;G;29.0257;21.4571;8.3515;4;4;5;0
STA_G3;1;G;29.7398;16.0715;8.8069;4;4;5;0
STA_G4;1;G;28.6044;22.1487;3.4499;4;4;5;0
STA_G5;1;G;30.433;10.9912;5.8758;4;4;5;0
STA_G6;1;G;36.4135;11.5446;3.863;4;4;5;0
STA_G7;1;G;30.0295;9.7295;3.2956;4;4;5;0
STA_G8;1;G;28.7681;16.127;6.9599;4;4;5;0
STA_G9;1;G;35.5812;11.7534;5.6133;4;4;5;0
STA_G10;1;G;31.9557;24.2469;9.2997;4;4;5;0
STA_G11;1;G;26.5585;17.8289;7.4227;4;4;5;0
AP_H;0;H;43.75;15.0;4.1863;0;0;3;1
STA_H1;1;H;39.3229;11.3742;9.4256;0;0;3;0
STA_H2;1;H;42.6427;7.9686;3.6129;0;0;3;0
STA_H3;1;H;36.3539;12.3461;7.4937;0;0;3;0
STA_H4;1;H;41.355;16.9627;4.5552;0;0;3;0
STA_H5;1;H;46.4889;18.5492;9.1256;0;0;3;0
STA_H6;1;H;50.1198;18.5151;5.6572;0;0;3;0
STA_H7;1;H;39.8166;14.8051;5.6198;0;0;3;0
STA_H8;1;H;37.9164;6.9181;5.0239;0;0;3;0
STA_H9;1;H;49.596;11.0273;5.1406;0;0;3;0
STA_H10;1;H;38.839;16.2703;5.4658;0;0;3;0
