node_code;node_type;wlan_code;x(m);y(m);z(m);max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;5.2644;7;1
STA_A1;1;A;13.0518;0.6008;3.3672;7;0
STA_A2;1;A;-1.3673;6.0501;9.6507;7;0
STA_A3;1;A;10.4812;13.5928;4.7991;7;0
STA_A4;1;A;5.0764;6.6596;3.4192;7;0
STA_A5;1;A;3.1659;7.6465;9.3109;7;0
STA_A6;1;A;1.8878;6.7198;5.2767;7;0
STA_A7;1;A;10.4493;-0.6947;9.1525;7;0
STA_A8;1;A;-2.1292;6.5913;4.8672;7;0
AP_B;0;B;18.75;5.0;8.9812;3;1
STA_B1;1;B;24.2071;6.5507;4.7943;3;0
STA_B2;1;B;18.4846;3.4373;8.2965;3;0
STA_B3;1;B;13.9865;-1.6578;7.875;3;0
STA_B4;1;B;22.7678;7.6043;3.5209;3;0
STA_B5;1;B;21.3413;3.3057;3.7641;3;0
STA_B6;1;B;20.5419;0.5557;7.8397;3;0
STA_B7;1;B;10.188;10.0082;5.4181;3;0
STA_B8;1;B;17.6091;7.8498;9.3409;3;0
STA_B9;1;B;20.4643;13.7464;4.6437;3;0
STA_B10;1;B;17.0016;0.4565;3.5408;3;0
STA_B11;1;B;25.3413;3.3777;3.3107;3;0
STA_B12;1;B;19.5036;5.9817;3.0575;3;0
STA_B13;1;B;20.6272;3.1052;6.8001;3;0
AP_C;0;C;31.25;5.0;9.6908;7;1
STA_C1;1;C;36.3759;12.3282;6.0995;7;0
STA_C2;1;C;33.2509;-3.8047;4.7068;7;0
STA_C3;1;C;23.4922;2.7963;5.3619;7;0
STA_C4;1;C;32.3011;-4.6443;3.9196;7;0
STA_C5;1;C;38.6587;6.3865;3.2392;7;0
STA_C6;1;C;30.3484;10.3085;8.2698;7;0
STA_C7;1;C;23.7439;0.4517;8.1448;7;0
STA_C8;1;C;36.4482;2.5458;7.0072;7;0
STA_C9;1;C;35.3936;7.8744;9.3014;7;0
STA_C10;1;C;30.0402;0.6518;3.4748;7;0
STA_C11;1;C;38.8244;5.2549;9.7011;7;0
STA_C12;1;C;37.1913;11.7259;6.1643;7;0
STA_C13;1;C;26.1894;13.2191;3.534;7;0
STA_C14;1;C;34.1055;2.0963;7.0285;7;0
STA_C15;1;C;39.9407;6.0089;8.8533;7;0
AP_D;0;D;43.75;5.0;3.8141;7;1
STA_D1;1;D;40.4823;0.2361;7.9965;7;0
STA_D2;1;D;42.5235;11.5262;3.47;7;0
STA_D3;1;D;46.5315;4.808;9.9214;7;0
STA_D4;1;D;38.4328;-1.3292;3.1123;7;0
STA_D5;1;D;45.4916;0.3332;9.4865;7;0
STA_D6;1;D;37.6636;0.3131;9.6578;7;0
STA_D7;1;D;48.9659;-1.8064;6.9332;7;0
STA_D8;1;D;45.0514;9.6359;9.4743;7;0
STA_D9;1;D;53.2137;3.4707;4.3137;7;0
STA_D10;1;D;42.4186;-4.3937;7.3666;7;0
AP_E;0;E;6.25;15.0;5.2467;1;1
STA_E1;1;E;7.4292;21.5481;6.2706;1;0
STA_E2;1;E;1.8833;18.4725;8.6865;1;0
STA_E3;1;E;5.6523;22.6832;6.4049;1;0
STA_E4;1;E;2.4405;10.0479;3.503;1;0
STA_E5;1;E;11.57;15.8026;5.6513;1;0
STA_E6;1;E;7.0976;10.4254;9.4478;1;0
STA_E7;1;E;6.2279;20.9994;7.9701;1;0
STA_E8;1;E;12.3144;18.5898;3.2096;1;0
STA_E9;1;E;14.8512;11.0802;9.7711;1;0
STA_E10;1;E;7.0266;6.1355;7.6893;1;0
STA_E11;1;E;1.0619;11.0786;3.8553;1;0
STA_E12;1;E;-2.7749;13.7794;4.8209;1;0
STA_E13;1;E;-2.065;20.2528;5.611;1;0
STA_E14;1;E;3.9219;8.7506;7.7801;1;0
STA_E15;1;E;-1.578;9.2555;4.0331;1;0
STA_E16;1;E;4.0365;23.8671;6.9765;1;0
STA_E17;1;E;-0.8587;19.4611;9.6025;1;0
STA_E18;1;E;12.2452;13.7493;3.945;1;0
STA_E19;1;E;8.6515;21.5176;6.6159;1;0
STA_E20;1;E;-3.2626;13.0049;9.8745;1;0
AP_F;0;F;18.75;15.0;5.1472;3;1
STA_F1;1;F;16.7409;17.1534;3.6824;3;0
STA_F2;1;F;11.8453;11.6707;4.1688;3;0
STA_F3;1;F;24.2985;11.646;4.8363;3;0
STA_F4;1;F;20.4662;24.3467;3.2493;3;0
STA_F5;1;F;11.6166;16.3682;8.1493;3;0
STA_F6;1;F;17.824;18.5717;7.2379;3;0
STA_F7;1;F;23.168;18.9987;7.8001;3;0
STA_F8;1;F;16.6376;7.0286;6.871;3;0
STA_F9;1;F;9.9078;16.8633;7.6005;3;0
STA_F10;1;F;27.4865;18.2467;5.4772;3;0
AP_G;0;G;31.25;15.0;6.9386;7;1
STA_G1;1;G;36.1777;17.4019;8.2613;7;0
STA_G2;1;G;25.2641;22.3907;3.9247;7;0
STA_G3;1;G;40.1216;16.0487;9.6524;7;0
STA_G4;1;G;36.1744;13.9424;4.3167;7;0
STA_G5;1;G;31.5973;18.6699;7.5619;7;0
STA_G6;1;G;23.3355;18.8575;8.9883;7;0
STA_G7;1;G;35.1167;12.9371;5.5327;7;0
STA_G8;1;G;32.1776;21.8374;9.9527;7;0
STA_G9;1;G;39.3103;11.9802;3.2453;7;0
STA_G10;1;G;35.6323;18.6235;3.0555;7;0
STA_G11;1;G;27.8698;13.5711;4.808;7;0
STA_G12;1;G;27.8833;6.2425;4.3731;7;0
STA_G13;1;G;28.8926;18.0456;3.46;7;0
STA_G14;1;G;31.4501;8.4765;7.983;7;0
STA_G15;1;G;22.0238;11.8128;5.1359;7;0
STA_G16;1;G;22.1439;13.2204;4.2018;7;0
STA_G17;1;G;25.3901;7.1412;7.6996;7;0
STA_G18;1;G;26.1641;15.5234;7.976;7;0
AP_H;0;H;43.75;15.0;9.7059;7;1
STA_H1;1;H;41.8524;6.6956;3.4825;7;0
STA_H2;1;H;37.0936;9.7149;3.3554;7;0
STA_H3;1;H;37.6558;16.5532;6.163;7;0
STA_H4;1;H;49.6623;18.9362;5.7988;7;0
STA_H5;1;H;36.2823;9.6708;4.9222;7;0
STA_H6;1;H;37.5995;7.9843;8.844;7;0
