node_code;node_type;wlan_code;x(m);y(m);z(m);max_channel_allowed;is_ap
AP_A;0;A;6.25;5.0;5.0072;3;1
STA_A1;1;A;3.7236;-1.0877;8.8326;3;0
STA_A2;1;A;9.1416;3.0111;9.6187;3;0
STA_A3;1;A;11.9633;10.7021;7.4569;3;0
STA_A4;1;A;12.0968;2.7462;3.0267;3;0
STA_A5;1;A;10.3644;8.2696;7.0184;3;0
STA_A6;1;A;6.8155;13.3574;8.1681;3;0
STA_A7;1;A;2.1405;11.405;6.7728;3;0
STA_A8;1;A;5.8713;9.3623;6.9613;3;0
STA_A9;1;A;-2.4942;8.0205;5.6665;3;0
STA_A10;1;A;5.6063;9.7619;3.9386;3;0
STA_A11;1;A;14.4652;7.3524;6.2183;3;0
STA_A12;1;A;11.9053;10.294;9.2767;3;0
STA_A13;1;A;1.3963;3.3049;3.2022;3;0
STA_A14;1;A;6.3962;10.9305;5.0797;3;0
STA_A15;1;A;11.9407;2.8963;3.6198;3;0
STA_A16;1;A;12.9462;6.0682;9.7655;3;0
STA_A17;1;A;-1.343;6.3987;3.2411;3;0
AP_B;0;B;18.75;5.0;8.8671;7;1
STA_B1;1;B;15.7054;-1.8852;9.3673;7;0
STA_B2;1;B;13.8557;0.0335;4.3817;7;0
STA_B3;1;B;18.3263;-4.7612;7.4359;7;0
STA_B4;1;B;17.0272;0.396;5.4173;7;0
STA_B5;1;B;11.6861;8.1587;7.6287;7;0
STA_B6;1;B;26.1762;8.9636;7.9038;7;0
STA_B7;1;B;25.599;6.8637;6.0031;7;0
STA_B8;1;B;22.9334;6.6649;9.1776;7;0
STA_B9;1;B;22.3785;-2.5451;3.3206;7;0
STA_B10;1;B;18.755;11.5125;4.1517;7;0
STA_B11;1;B;14.0149;-0.5682;5.2099;7;0
STA_B12;1;B;15.2731;1.1538;3.3693;7;0
STA_B13;1;B;25.4538;1.6941;7.2409;7;0
STA_B14;1;B;10.9443;1.081;9.2459;7;0
STA_B15;1;B;25.383;-2.4081;4.9099;7;0
STA_B16;1;B;20.8193;7.0544;8.3589;7;0
STA_B17;1;B;26.707;6.7284;7.4719;7;0
AP_C;0;C;31.25;5.0;4.1693;7;1
STA_C1;1;C;28.8737;0.0348;5.6667;7;0
STA_C2;1;C;34.7913;13.6009;3.1486;7;0
STA_C3;1;C;36.4598;0.8359;8.936;7;0
STA_C4;1;C;28.7598;5.1114;6.4211;7;0
STA_C5;1;C;37.1899;11.1491;7.3202;7;0
STA_C6;1;C;30.111;2.9558;3.2988;7;0
STA_C7;1;C;27.7128;6.7532;9.8483;7;0
STA_C8;1;C;34.5506;11.699;5.2538;7;0
STA_C9;1;C;31.6587;13.0748;6.0548;7;0
AP_D;0;D;43.75;5.0;8.669;3;1
STA_D1;1;D;38.2943;4.8284;5.616;3;0
STA_D2;1;D;43.45;2.807;6.7548;3;0
STA_D3;1;D;48.1962;6.0764;4.046;3;0
STA_D4;1;D;47.1349;0.8264;4.1909;3;0
STA_D5;1;D;50.492;3.7951;8.4639;3;0
STA_D6;1;D;50.3937;6.8777;5.7947;3;0
STA_D7;1;D;39.6323;-1.3281;4.8762;3;0
STA_D8;1;D;49.2831;8.6452;9.0918;3;0
STA_D9;1;D;39.8188;-0.8565;9.5796;3;0
STA_D10;1;D;37.2284;-1.8597;4.519;3;0
STA_D11;1;D;37.9831;7.7689;3.6886;3;0
STA_D12;1;D;44.6406;11.2122;9.1086;3;0
AP_E;0;E;6.25;15.0;8.8093;3;1
STA_E1;1;E;9.041;11.9994;7.45;3;0
STA_E2;1;E;7.8208;11.5376;9.9821;3;0
STA_E3;1;E;-2.9253;16.717;8.1505;3;0
STA_E4;1;E;4.0181;6.0216;6.2482;3;0
STA_E5;1;E;7.4475;23.9246;9.8194;3;0
STA_E6;1;E;13.3517;18.6995;4.0742;3;0
STA_E7;1;E;3.6658;24.3642;6.1374;3;0
STA_E8;1;E;8.0055;10.5785;8.2748;3;0
STA_E9;1;E;9.9405;6.7126;4.5686;3;0
STA_E10;1;E;9.3168;8.1054;3.9865;3;0
STA_E11;1;E;1.8342;17.228;4.1605;3;0
STA_E12;1;E;14.1125;18.1534;8.8206;3;0
AP_F;0;F;18.75;15.0;6.1127;3;1
STA_F1;1;F;25.9865;14.1678;4.0152;3;0
STA_F2;1;F;22.2907;17.8412;3.2123;3;0
STA_F3;1;F;22.8659;8.8993;6.7263;3;0
STA_F4;1;F;25.7448;14.2309;8.5446;3;0
STA_F5;1;F;13.443;10.9426;7.1082;3;0
STA_F6;1;F;15.5267;22.8982;3.6161;3;0
STA_F7;1;F;23.8199;10.0282;7.027;3;0
STA_F8;1;F;12.8579;7.2181;8.3414;3;0
STA_F9;1;F;19.3486;7.2707;8.4871;3;0
STA_F10;1;F;24.1829;6.868;3.0572;3;0
STA_F11;1;F;22.179;21.9056;5.1091;3;0
STA_F12;1;F;14.0912;6.3411;6.4025;3;0
STA_F13;1;F;24.0862;9.1781;4.4105;3;0
STA_F14;1;F;20.4849;11.3769;8.6974;3;0
AP_G;0;G;31.25;15.0;6.1289;7;1
STA_G1;1;G;38.593;9.1187;4.5319;7;0
STA_G2;1;G;39.8787;13.8365;5.0579;7;0
STA_G3;1;G;26.2914;15.3089;3.8634;7;0
STA_G4;1;G;29.4329;7.7224;4.381;7;0
STA_G5;1;G;37.0807;18.6858;7.8135;7;0
STA_G6;1;G;22.7675;14.9732;8.7749;7;0
STA_G7;1;G;36.9262;8.1719;6.8134;7;0
STA_G8;1;G;27.7332;22.8713;3.8086;7;0
STA_G9;1;G;28.9602;6.5931;8.3815;7;0
STA_G10;1;G;28.0785;18.9636;5.1162;7;0
STA_G11;1;G;32.7408;6.7183;5.6265;7;0
STA_G12;1;G;34.5901;8.1576;4.016;7;0
STA_G13;1;G;32.7204;22.1294;9.2447;7;0
AP_H;0;H;43.75;15.0;4.1116;7;1
STA_H1;1;H;50.5735;19.7674;9.2798;7;0
STA_H2;1;H;42.562;10.3211;8.1781;7;0
STA_H3;1;H;48.3629;23.2962;7.9933;7;0
STA_H4;1;H;50.871;11.4808;3.2372;7;0
STA_H5;1;H;51.7278;14.2478;4.4382;7;0
STA_H6;1;H;34.9823;18.1103;3.397;7;0
STA_H7;1;H;47.5195;11.2553;8.5592;7;0
STA_H8;1;H;47.5464;6.5648;3.9622;7;0
STA_H9;1;H;44.2824;8.8275;8.4948;7;0
STA_H10;1;H;44.0581;8.7416;6.0364;7;0
STA_H11;1;H;50.0443;12.6707;9.3589;7;0
