node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
AP_A 0 A 6.25 5.0 3.8819 0 3
STA_A1 1 A 2.5627 -3.8486 9.9144 0 3
STA_A2 1 A 2.4738 8.2289 8.5428 0 3
STA_A3 1 A 8.4784 8.5693 8.6052 0 3
STA_A4 1 A 9.57 13.1913 7.5981 0 3
STA_A5 1 A -1.4637 4.7193 6.682 0 3
STA_A6 1 A 10.4123 1.5197 4.687 0 3
STA_A7 1 A 7.0013 -2.9354 7.7402 0 3
STA_A8 1 A 4.9925 -0.5117 8.0647 0 3
STA_A9 1 A 14.4279 7.7231 3.5738 0 3
STA_A10 1 A 13.505 4.2063 8.2592 0 3
AP_B 0 B 18.75 5.0 6.8682 0 7
STA_B1 1 B 24.6809 6.7911 3.0712 0 7
STA_B2 1 B 25.7275 11.0466 5.2631 0 7
STA_B3 1 B 18.9532 13.4805 3.7739 0 7
STA_B4 1 B 11.1004 -0.1604 4.8437 0 7
STA_B5 1 B 9.6454 4.8808 4.5826 0 7
STA_B6 1 B 17.8458 -4.5226 7.2403 0 7
STA_B7 1 B 19.8273 5.9216 3.0785 0 7
STA_B8 1 B 21.8261 3.1258 9.6777 0 7
STA_B9 1 B 22.115 9.5317 7.332 0 7
AP_C 0 C 31.25 5.0 6.3664 0 1
STA_C1 1 C 38.6743 1.4045 8.4499 0 1
STA_C2 1 C 30.2367 11.6987 3.713 0 1
STA_C3 1 C 26.7127 9.9449 3.4493 0 1
STA_C4 1 C 36.7411 -2.5946 4.8819 0 1
STA_C5 1 C 26.7414 9.9406 7.2024 0 1
STA_C6 1 C 24.5144 5.4871 5.9658 0 1
STA_C7 1 C 35.0756 -2.9206 9.105 0 1
STA_C8 1 C 40.6183 5.7767 7.7489 0 1
STA_C9 1 C 28.7968 -1.4528 8.21 0 1
STA_C10 1 C 25.4817 -0.1844 5.8421 0 1
STA_C11 1 C 29.5196 0.5209 3.0532 0 1
STA_C12 1 C 31.4363 2.0192 4.4684 0 1
AP_D 0 D 43.75 5.0 4.4287 0 3
STA_D1 1 D 47.2846 7.5215 4.326 0 3
STA_D2 1 D 47.1796 11.988 7.6379 0 3
STA_D3 1 D 37.0931 10.5251 3.9704 0 3
STA_D4 1 D 35.3424 3.0356 4.1202 0 3
STA_D5 1 D 47.9029 -3.1123 8.8024 0 3
STA_D6 1 D 45.7817 -2.5809 4.2039 0 3
STA_D7 1 D 46.3421 -3.804 6.7561 0 3
STA_D8 1 D 36.6034 -1.0893 3.0817 0 3
STA_D9 1 D 35.7572 0.0564 8.4547 0 3
STA_D10 1 D 44.4295 -2.8406 7.6391 0 3
STA_D11 1 D 35.9568 3.1946 9.98 0 3
STA_D12 1 D 39.38 0.0585 8.7483 0 3
STA_D13 1 D 52.0036 0.1561 9.472 0 3
STA_D14 1 D 41.8564 1.0658 7.6144 0 3
STA_D15 1 D 44.9866 8.2202 3.4138 0 3
STA_D16 1 D 52.3148 3.9632 3.0403 0 3
STA_D17 1 D 43.2295 0.8495 8.9221 0 3
AP_E 0 E 6.25 15.0 5.3502 0 7
STA_E1 1 E 4.7385 19.2328 9.5288 0 7
STA_E2 1 E 4.9881 24.7972 6.7626 0 7
STA_E3 1 E 10.5118 22.654 5.6505 0 7
STA_E4 1 E 10.9469 10.2133 6.851 0 7
STA_E5 1 E 2.8598 22.0269 5.5285 0 7
STA_E6 1 E 15.3696 12.3809 6.6499 0 7
STA_E7 1 E 6.3059 23.5504 8.2398 0 7
STA_E8 1 E 15.9713 15.4938 3.9533 0 7
STA_E9 1 E -1.3986 11.6007 6.478 0 7
AP_F 0 F 18.75 15.0 4.7564 0 7
STA_F1 1 F 14.6025 8.8762 9.8432 0 7
STA_F2 1 F 20.172 12.584 4.1153 0 7
STA_F3 1 F 12.5626 11.662 4.5397 0 7
STA_F4 1 F 25.5094 21.4953 7.9498 0 7
STA_F5 1 F 13.3213 8.3386 5.5089 0 7
STA_F6 1 F 16.3866 12.7533 3.1208 0 7
STA_F7 1 F 14.4126 18.5576 6.9755 0 7
STA_F8 1 F 11.9155 13.401 8.4516 0 7
STA_F9 1 F 22.7115 8.1535 6.8117 0 7
STA_F10 1 F 20.7059 11.8816 9.8076 0 7
STA_F11 1 F 10.806 12.6467 7.0194 0 7
STA_F12 1 F 10.4058 11.5202 9.2938 0 7
STA_F13 1 F 13.5227 6.9899 7.7823 0 7
STA_F14 1 F 12.4065 8.637 4.2971 0 7
AP_G 0 G 31.25 15.0 6.5003 2 3
STA_G1 1 G 32.7485 16.7441 3.4586 2 3
STA_G2 1 G 24.1851 11.3351 8.5009 2 3
STA_G3 1 G 32.6844 15.0002 5.9289 2 3
STA_G4 1 G 29.5195 23.1135 7.8744 2 3
STA_G5 1 G 32.1739 23.2046 7.1224 2 3
STA_G6 1 G 27.1429 16.2491 3.7624 2 3
STA_G7 1 G 24.5973 16.4434 6.1729 2 3
STA_G8 1 G 29.0765 23.3053 9.6086 2 3
STA_G9 1 G 37.0581 11.4231 7.1589 2 3
STA_G10 1 G 28.5541 14.8872 8.4529 2 3
AP_H 0 H 43.75 15.0 8.6399 0 3
STA_H1 1 H 42.3918 21.6257 5.8389 0 3
STA_H2 1 H 50.8499 16.9913 8.1307 0 3
STA_H3 1 H 39.172 16.9977 9.8903 0 3
STA_H4 1 H 43.0437 22.1949 3.8397 0 3
STA_H5 1 H 38.9876 17.2453 4.469 0 3
STA_H6 1 H 49.0532 19.8919 3.3667 0 3
STA_H7 1 H 50.724 21.2725 9.6654 0 3
STA_H8 1 H 40.5309 19.3789 7.0317 0 3
STA_H9 1 H 47.2633 8.9952 3.9886 0 3
STA_H10 1 H 44.143 21.2275 7.8326 0 3
STA_H11 1 H 41.978 12.4688 6.0365 0 3
STA_H12 1 H 42.5803 19.6033 9.4015 0 3
STA_H13 1 H 37.4603 13.7251 3.9488 0 3
