node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
AP_A 0 A 6.25 5.0 7.1776 0 1
STA_A1 1 A 0.3594 11.5299 4.6818 0 1
STA_A2 1 A -2.8195 1.5023 9.5637 0 1
STA_A3 1 A 5.3196 12.408 8.4859 0 1
STA_A4 1 A 2.6026 7.3114 8.9728 0 1
STA_A5 1 A 12.5695 12.2695 9.081 0 1
STA_A6 1 A 9.975 1.119 9.1953 0 1
STA_A7 1 A -0.4633 5.9874 7.7826 0 1
STA_A8 1 A 11.4429 -1.7187 5.1238 0 1
STA_A9 1 A -2.1729 8.7511 6.3274 0 1
STA_A10 1 A 3.0402 9.2768 4.6999 0 1
STA_A11 1 A 7.4728 9.1318 3.7 0 1
STA_A12 1 A 2.1759 -1.9557 6.7898 0 1
STA_A13 1 A 5.7619 9.7098 5.7773 0 1
STA_A14 1 A 0.537 9.9649 7.0613 0 1
STA_A15 1 A 0.5597 2.0396 5.8259 0 1
STA_A16 1 A 3.417 12.335 5.7209 0 1
AP_B 0 B 18.75 5.0 6.2981 0 7
STA_B1 1 B 17.0118 -1.0436 6.6652 0 7
STA_B2 1 B 16.6345 14.0992 3.345 0 7
STA_B3 1 B 24.3072 0.1381 9.9488 0 7
STA_B4 1 B 13.9539 3.516 9.9994 0 7
STA_B5 1 B 19.5597 6.8376 4.2457 0 7
STA_B6 1 B 16.1917 2.8205 6.8806 0 7
STA_B7 1 B 10.705 2.0565 7.9015 0 7
STA_B8 1 B 14.1683 -0.9119 9.3395 0 7
STA_B9 1 B 20.3055 -1.7163 7.4334 0 7
STA_B10 1 B 24.0074 0.7788 3.7235 0 7
STA_B11 1 B 13.6016 12.36 8.7712 0 7
STA_B12 1 B 20.9658 11.1422 7.1566 0 7
STA_B13 1 B 23.7838 0.7161 4.7344 0 7
STA_B14 1 B 22.2776 5.3039 6.6944 0 7
STA_B15 1 B 16.7391 4.3292 5.2432 0 7
STA_B16 1 B 11.0536 10.8434 4.831 0 7
STA_B17 1 B 9.5522 2.3091 4.9758 0 7
STA_B18 1 B 19.8821 5.8821 8.1604 0 7
STA_B19 1 B 21.0143 1.4344 6.4716 0 7
STA_B20 1 B 20.4769 12.2261 9.1743 0 7
AP_C 0 C 31.25 5.0 9.619 0 3
STA_C1 1 C 34.4002 8.2859 8.4908 0 3
STA_C2 1 C 30.5601 13.3208 3.323 0 3
STA_C3 1 C 32.6002 11.7647 6.6202 0 3
STA_C4 1 C 35.7999 3.8157 8.6855 0 3
STA_C5 1 C 31.6589 -2.7568 5.851 0 3
STA_C6 1 C 28.4312 1.3638 9.4932 0 3
STA_C7 1 C 28.1306 13.4004 6.513 0 3
STA_C8 1 C 31.312 8.6178 6.1959 0 3
STA_C9 1 C 33.09 0.1247 5.9023 0 3
STA_C10 1 C 30.2608 8.5777 3.845 0 3
AP_D 0 D 43.75 5.0 5.7664 0 3
STA_D1 1 D 34.501 8.5838 5.9986 0 3
STA_D2 1 D 39.7831 8.1717 3.936 0 3
STA_D3 1 D 43.2605 -3.3224 3.0807 0 3
STA_D4 1 D 39.5737 12.5862 8.7475 0 3
STA_D5 1 D 47.771 8.0028 9.9329 0 3
STA_D6 1 D 34.739 7.0359 8.1299 0 3
STA_D7 1 D 39.8344 5.9189 6.0965 0 3
STA_D8 1 D 46.9863 -4.0987 8.1013 0 3
STA_D9 1 D 45.9338 0.6326 6.0047 0 3
STA_D10 1 D 33.8713 5.9636 5.1884 0 3
STA_D11 1 D 35.0508 5.0589 5.6766 0 3
STA_D12 1 D 41.4492 14.6141 3.468 0 3
AP_E 0 E 6.25 15.0 5.5522 0 3
STA_E1 1 E 3.9661 15.3286 6.2839 0 3
STA_E2 1 E 0.3419 17.9582 9.7446 0 3
STA_E3 1 E 11.7629 20.3531 8.7519 0 3
STA_E4 1 E 6.2641 18.5963 4.781 0 3
STA_E5 1 E 1.1002 6.8424 7.5268 0 3
STA_E6 1 E 6.3555 9.807 4.9178 0 3
STA_E7 1 E 3.8355 19.6041 4.6308 0 3
STA_E8 1 E 8.3725 13.4303 6.673 0 3
STA_E9 1 E 2.442 7.464 3.6502 0 3
STA_E10 1 E 3.2893 17.2084 9.9388 0 3
STA_E11 1 E 10.3792 15.5021 8.3675 0 3
STA_E12 1 E 11.2731 8.4516 5.8523 0 3
STA_E13 1 E 3.4983 14.6127 7.0698 0 3
STA_E14 1 E 4.6422 6.2823 9.4993 0 3
STA_E15 1 E 11.5777 10.5031 4.4291 0 3
