node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
AP_A 0 A 6.25 5.0 9.6759 0 7
STA_A1 1 A -1.2767 6.0521 8.6384 0 7
STA_A2 1 A 3.1737 2.033 6.212 0 7
STA_A3 1 A 1.5938 0.0529 4.5855 0 7
STA_A4 1 A 8.9037 6.7196 8.2256 0 7
STA_A5 1 A -0.3795 3.9764 9.6343 0 7
STA_A6 1 A 10.7353 3.9045 8.6003 0 7
STA_A7 1 A 15.9454 6.1966 8.373 0 7
STA_A8 1 A 13.557 8.7338 7.214 0 7
STA_A9 1 A 15.5869 4.8624 8.9182 0 7
STA_A10 1 A 3.4143 9.3263 3.2548 0 7
STA_A11 1 A 8.1727 12.3342 8.5109 0 7
STA_A12 1 A 10.6615 1.2371 8.8843 0 7
STA_A13 1 A 12.359 7.7188 8.1168 0 7
STA_A14 1 A 3.7998 12.0652 6.5049 0 7
AP_B 0 B 18.75 5.0 8.9908 0 7
STA_B1 1 B 16.9189 0.6986 9.0716 0 7
STA_B2 1 B 21.4086 1.893 7.8188 0 7
STA_B3 1 B 22.0434 7.4659 8.6886 0 7
STA_B4 1 B 14.4514 0.3242 3.026 0 7
STA_B5 1 B 23.8532 -1.035 5.3526 0 7
STA_B6 1 B 26.5392 0.6687 6.6103 0 7
STA_B7 1 B 27.7254 8.4973 7.0248 0 7
STA_B8 1 B 26.8863 2.7171 3.5261 0 7
STA_B9 1 B 22.1106 8.4735 3.6093 0 7
STA_B10 1 B 9.6361 2.0567 8.7579 0 7
STA_B11 1 B 24.6731 8.6922 5.7926 0 7
STA_B12 1 B 13.955 1.3158 7.5006 0 7
STA_B13 1 B 12.0518 2.519 7.2068 0 7
STA_B14 1 B 25.5617 -0.9474 4.0265 0 7
STA_B15 1 B 24.0244 0.2564 3.9338 0 7
STA_B16 1 B 20.3758 3.2621 9.7898 0 7
STA_B17 1 B 20.8574 10.4213 3.5943 0 7
AP_C 0 C 31.25 5.0 9.4285 0 3
STA_C1 1 C 33.4638 5.0604 4.0586 0 3
STA_C2 1 C 35.0718 3.411 4.3763 0 3
STA_C3 1 C 38.3918 3.5757 4.541 0 3
STA_C4 1 C 35.5596 8.2867 5.381 0 3
STA_C5 1 C 33.5775 3.6255 8.057 0 3
STA_C6 1 C 35.0794 -0.0303 7.7327 0 3
STA_C7 1 C 40.0894 0.7894 6.114 0 3
STA_C8 1 C 32.3608 10.6986 4.7311 0 3
STA_C9 1 C 28.0461 -0.1714 5.2871 0 3
STA_C10 1 C 37.7805 1.804 8.2089 0 3
STA_C11 1 C 23.1925 9.8237 6.3304 0 3
STA_C12 1 C 27.5566 2.4811 3.9451 0 3
STA_C13 1 C 33.1578 6.324 4.0454 0 3
STA_C14 1 C 28.169 13.4479 8.7844 0 3
STA_C15 1 C 25.1855 1.7312 3.0057 0 3
STA_C16 1 C 31.4176 -1.4869 4.062 0 3
STA_C17 1 C 23.4053 6.246 3.7363 0 3
STA_C18 1 C 37.3477 -1.5636 7.6197 0 3
AP_D 0 D 43.75 5.0 9.0525 0 7
STA_D1 1 D 41.691 9.1961 8.8717 0 7
STA_D2 1 D 35.4221 3.0085 7.9745 0 7
STA_D3 1 D 46.6761 2.7186 3.6263 0 7
STA_D4 1 D 49.4345 -2.8596 3.3627 0 7
STA_D5 1 D 36.4947 4.9516 6.7646 0 7
STA_D6 1 D 38.2208 12.5004 5.212 0 7
STA_D7 1 D 45.0676 1.3114 8.1832 0 7
STA_D8 1 D 47.5893 12.5069 9.4379 0 7
STA_D9 1 D 43.8764 -0.8198 5.4591 0 7
STA_D10 1 D 52.0323 6.7882 4.8053 0 7
STA_D11 1 D 45.0395 -4.806 4.1609 0 7
STA_D12 1 D 40.5225 -3.1896 4.2401 0 7
STA_D13 1 D 49.5949 11.105 4.4983 0 7
STA_D14 1 D 42.7646 12.8505 3.2356 0 7
AP_E 0 E 6.25 15.0 6.7399 0 3
STA_E1 1 E 4.0386 12.9698 4.987 0 3
STA_E2 1 E 8.6344 16.6508 5.8708 0 3
STA_E3 1 E 9.7958 8.6365 3.8294 0 3
STA_E4 1 E -1.2033 12.8396 7.5952 0 3
STA_E5 1 E 12.7215 16.5625 4.3264 0 3
