node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
AP_A 0 A 6.25 5.0 3.2868 0 3
STA_A1 1 A 4.6872 -1.8503 7.0974 0 3
STA_A2 1 A 11.5055 1.812 8.9342 0 3
STA_A3 1 A -3.7264 4.8289 7.9229 0 3
STA_A4 1 A 8.6657 10.4899 3.7374 0 3
STA_A5 1 A 6.0928 -0.7625 9.3909 0 3
STA_A6 1 A 4.6245 -3.1586 7.825 0 3
STA_A7 1 A 2.6477 12.8935 5.7435 0 3
STA_A8 1 A 13.2967 5.2721 5.3703 0 3
STA_A9 1 A 1.4412 5.6926 5.1637 0 3
STA_A10 1 A 7.7108 -0.5369 6.2022 0 3
STA_A11 1 A 5.422 0.064 3.1554 0 3
STA_A12 1 A 9.1849 -4.4315 4.7126 0 3
STA_A13 1 A 8.6952 0.1012 6.462 0 3
STA_A14 1 A 9.6252 10.6366 6.1012 0 3
AP_B 0 B 18.75 5.0 6.8761 0 7
STA_B1 1 B 16.9545 -1.1192 3.8696 0 7
STA_B2 1 B 21.153 13.508 3.146 0 7
STA_B3 1 B 14.1914 13.7394 8.791 0 7
STA_B4 1 B 27.2634 0.0997 9.9256 0 7
STA_B5 1 B 22.1227 6.9451 8.2359 0 7
STA_B6 1 B 17.7699 8.9455 8.4473 0 7
STA_B7 1 B 27.992 1.326 3.6125 0 7
STA_B8 1 B 15.9191 5.6471 7.8578 0 7
STA_B9 1 B 13.7795 0.5907 3.0684 0 7
STA_B10 1 B 18.1739 -1.8288 4.3273 0 7
STA_B11 1 B 11.774 9.7697 4.8778 0 7
STA_B12 1 B 26.8926 -0.5524 4.8642 0 7
STA_B13 1 B 27.6888 6.8494 9.5076 0 7
STA_B14 1 B 9.3922 3.3136 9.7086 0 7
STA_B15 1 B 21.2135 3.4172 6.6843 0 7
STA_B16 1 B 11.781 4.0988 5.2985 0 7
STA_B17 1 B 20.719 7.7094 4.0172 0 7
AP_C 0 C 31.25 5.0 4.8078 0 7
STA_C1 1 C 37.3143 5.259 6.9106 0 7
STA_C2 1 C 24.8218 -1.8933 6.1148 0 7
STA_C3 1 C 28.2408 6.0924 4.2318 0 7
STA_C4 1 C 35.142 9.1502 9.4759 0 7
STA_C5 1 C 30.8822 -4.6737 7.6629 0 7
STA_C6 1 C 38.6723 4.4668 9.247 0 7
STA_C7 1 C 29.2856 -2.2184 5.2784 0 7
STA_C8 1 C 35.6901 10.5187 6.986 0 7
STA_C9 1 C 34.35 -2.7389 8.2158 0 7
AP_D 0 D 43.75 5.0 9.7911 0 7
STA_D1 1 D 39.0891 6.3551 3.5804 0 7
STA_D2 1 D 50.6972 9.5336 9.8156 0 7
STA_D3 1 D 47.6379 11.5047 6.5074 0 7
STA_D4 1 D 42.1335 9.2854 5.9902 0 7
STA_D5 1 D 48.5801 -2.8243 8.5438 0 7
STA_D6 1 D 48.1798 13.3792 8.2532 0 7
STA_D7 1 D 42.2358 -0.1191 3.118 0 7
STA_D8 1 D 48.4586 13.3353 7.0526 0 7
STA_D9 1 D 43.9716 13.0009 5.3769 0 7
STA_D10 1 D 41.8102 -1.0975 5.338 0 7
STA_D11 1 D 37.3956 6.7287 5.9362 0 7
STA_D12 1 D 46.7261 10.3646 8.2051 0 7
STA_D13 1 D 50.5855 5.2826 7.2661 0 7
AP_E 0 E 6.25 15.0 4.0275 2 3
STA_E1 1 E 1.5613 18.7044 4.3892 2 3
STA_E2 1 E -1.5088 14.7102 7.97 2 3
STA_E3 1 E 12.1697 17.6011 9.9293 2 3
STA_E4 1 E -0.8024 9.7832 3.6264 2 3
STA_E5 1 E 15.3528 14.2996 5.9734 2 3
