node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
AP_A 0 A 6.25 5.0 4.1157 6 7
STA_A1 1 A 4.7736 -0.8906 4.3262 6 7
STA_A2 1 A 10.8009 -1.0146 5.1359 6 7
STA_A3 1 A 14.9085 2.8466 6.6521 6 7
STA_A4 1 A 3.5196 11.7468 4.3294 6 7
STA_A5 1 A 4.7752 5.7621 5.045 6 7
STA_A6 1 A 15.0209 1.9179 4.3256 6 7
STA_A7 1 A 10.7184 7.7286 6.811 6 7
STA_A8 1 A -2.0493 3.2095 5.7222 6 7
STA_A9 1 A -2.5757 3.0403 4.0073 6 7
STA_A10 1 A 6.4628 12.4392 8.0989 6 7
STA_A11 1 A 10.8896 6.3153 6.0387 6 7
STA_A12 1 A 12.5702 4.6245 7.3313 6 7
STA_A13 1 A 9.3559 11.3169 9.2738 6 7
STA_A14 1 A 8.2388 7.8576 4.5548 6 7
STA_A15 1 A 4.062 5.9854 6.3077 6 7
AP_B 0 B 18.75 5.0 3.1245 0 3
STA_B1 1 B 17.6602 0.0354 5.581 0 3
STA_B2 1 B 24.4391 3.9304 6.9587 0 3
STA_B3 1 B 10.7383 -0.6253 7.7131 0 3
STA_B4 1 B 25.0168 0.3867 3.1121 0 3
STA_B5 1 B 22.0052 11.8642 4.0084 0 3
STA_B6 1 B 18.1111 11.2279 7.2924 0 3
STA_B7 1 B 24.2493 12.3281 8.7519 0 3
STA_B8 1 B 26.0069 5.8449 5.4494 0 3
STA_B9 1 B 22.4823 -3.5731 4.6787 0 3
STA_B10 1 B 24.0186 11.9351 3.9126 0 3
STA_B11 1 B 27.3371 7.5845 9.341 0 3
STA_B12 1 B 21.1353 14.2421 5.1735 0 3
STA_B13 1 B 14.7583 -0.0016 5.0294 0 3
AP_C 0 C 31.25 5.0 3.4913 0 7
STA_C1 1 C 35.8649 10.5911 6.4627 0 7
STA_C2 1 C 32.7426 11.577 3.3857 0 7
STA_C3 1 C 22.7259 1.56 8.2173 0 7
STA_C4 1 C 34.6848 5.3315 9.6223 0 7
STA_C5 1 C 24.6087 2.1665 6.4796 0 7
STA_C6 1 C 26.1802 1.4871 5.529 0 7
STA_C7 1 C 34.2084 13.8912 3.0781 0 7
STA_C8 1 C 25.0559 12.3236 6.5227 0 7
STA_C9 1 C 37.8028 9.9267 7.0703 0 7
AP_D 0 D 43.75 5.0 7.9168 0 7
STA_D1 1 D 36.5876 4.5642 3.2739 0 7
STA_D2 1 D 48.1634 -2.6409 7.2425 0 7
STA_D3 1 D 48.8955 7.7756 9.1999 0 7
STA_D4 1 D 37.8897 3.1292 5.8221 0 7
STA_D5 1 D 41.4441 5.3738 5.7108 0 7
STA_D6 1 D 34.704 1.9371 5.0171 0 7
STA_D7 1 D 39.956 9.0588 3.0575 0 7
STA_D8 1 D 51.1346 5.3425 5.9809 0 7
STA_D9 1 D 52.5762 3.4765 7.9359 0 7
STA_D10 1 D 43.8783 -1.168 5.3972 0 7
STA_D11 1 D 40.5477 6.4749 5.5414 0 7
AP_E 0 E 6.25 15.0 6.0644 0 7
STA_E1 1 E 11.9112 12.9243 7.3952 0 7
STA_E2 1 E 13.1861 10.3273 4.624 0 7
STA_E3 1 E 13.0265 19.96 5.719 0 7
STA_E4 1 E 4.3827 23.1276 9.0357 0 7
STA_E5 1 E 9.9608 19.7255 9.7983 0 7
STA_E6 1 E 0.7588 16.4221 6.939 0 7
STA_E7 1 E 10.3058 12.9574 8.5665 0 7
STA_E8 1 E 6.1345 9.8011 4.1705 0 7
STA_E9 1 E 12.5098 15.2396 6.4938 0 7
STA_E10 1 E 0.3749 19.262 9.2498 0 7
STA_E11 1 E 3.4808 22.8992 9.0855 0 7
STA_E12 1 E 5.6661 10.3023 6.8835 0 7
STA_E13 1 E 1.8373 20.5501 9.9987 0 7
STA_E14 1 E 6.9437 17.7367 6.1264 0 7
STA_E15 1 E 0.9997 16.1536 8.3655 0 7
AP_F 0 F 18.75 15.0 7.1148 4 5
