node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
AP_A 0 A 6.25 5.0 5.8063 0 7
STA_A1 1 A 14.721 6.8754 3.3176 0 7
STA_A2 1 A 15.2763 6.2639 7.1162 0 7
STA_A3 1 A 9.8321 2.9356 3.4236 0 7
STA_A4 1 A 1.6359 12.5352 8.7431 0 7
STA_A5 1 A 2.9138 10.795 7.7563 0 7
STA_A6 1 A 7.628 0.6429 3.5468 0 7
STA_A7 1 A -0.5872 11.604 5.9496 0 7
STA_A8 1 A -0.8479 2.8182 3.4318 0 7
STA_A9 1 A 5.3784 6.4926 9.188 0 7
AP_B 0 B 18.75 5.0 9.3915 0 7
STA_B1 1 B 14.0866 13.4474 6.3849 0 7
STA_B2 1 B 21.9066 12.9819 8.5914 0 7
STA_B3 1 B 15.7429 10.2277 9.3994 0 7
STA_B4 1 B 13.3898 3.1995 5.7997 0 7
STA_B5 1 B 16.069 10.2748 5.732 0 7
STA_B6 1 B 21.7602 9.89 5.3059 0 7
STA_B7 1 B 26.3008 0.1185 5.6747 0 7
STA_B8 1 B 27.6846 6.2395 8.2428 0 7
AP_C 0 C 31.25 5.0 6.6939 0 7
STA_C1 1 C 33.3521 -4.0599 7.4395 0 7
STA_C2 1 C 35.2035 12.8024 5.7614 0 7
STA_C3 1 C 33.2377 4.9519 8.057 0 7
STA_C4 1 C 36.3155 -2.2993 8.3227 0 7
STA_C5 1 C 27.0838 5.1279 5.8177 0 7
STA_C6 1 C 34.8867 9.4706 4.4701 0 7
STA_C7 1 C 36.7996 7.0922 7.0927 0 7
STA_C8 1 C 28.2691 5.5278 5.7488 0 7
STA_C9 1 C 33.4213 11.7337 5.9965 0 7
STA_C10 1 C 25.3554 11.6911 8.5791 0 7
AP_D 0 D 43.75 5.0 5.0196 0 7
STA_D1 1 D 34.8058 5.0944 8.3372 0 7
STA_D2 1 D 45.2669 8.2688 9.195 0 7
STA_D3 1 D 42.2006 13.308 9.5157 0 7
STA_D4 1 D 46.2891 -2.3657 4.4812 0 7
STA_D5 1 D 44.6295 1.8698 8.0424 0 7
STA_D6 1 D 51.5724 7.6144 7.9824 0 7
STA_D7 1 D 47.2822 1.5122 3.6754 0 7
STA_D8 1 D 53.0719 3.7627 4.7883 0 7
STA_D9 1 D 50.2466 -0.0296 3.4857 0 7
STA_D10 1 D 51.7944 6.2778 7.4642 0 7
STA_D11 1 D 47.2853 -2.5757 6.2478 0 7
STA_D12 1 D 46.6718 2.6595 7.9557 0 7
STA_D13 1 D 47.0018 0.5241 3.1643 0 7
STA_D14 1 D 34.5405 2.0457 5.9045 0 7
STA_D15 1 D 46.8718 11.4305 6.8657 0 7
STA_D16 1 D 44.7388 -3.743 4.644 0 7
AP_E 0 E 6.25 15.0 4.1978 2 3
STA_E1 1 E 8.8876 18.2881 5.361 2 3
STA_E2 1 E 7.6003 17.817 4.6135 2 3
STA_E3 1 E 8.1546 15.1501 4.9972 2 3
STA_E4 1 E 0.3504 19.4643 4.1219 2 3
STA_E5 1 E 6.2396 10.9423 3.4062 2 3
STA_E6 1 E 1.3234 14.9691 8.1262 2 3
STA_E7 1 E 9.0521 6.0137 7.7368 2 3
STA_E8 1 E 10.2851 6.4246 9.2275 2 3
STA_E9 1 E 4.8615 19.2772 3.4768 2 3
STA_E10 1 E 5.7578 22.98 8.8828 2 3
AP_F 0 F 18.75 15.0 3.6834 0 3
STA_F1 1 F 12.3771 20.8985 8.9013 0 3
STA_F2 1 F 11.3907 16.9023 9.274 0 3
STA_F3 1 F 20.4645 6.5896 6.1749 0 3
STA_F4 1 F 18.0254 21.3013 3.7564 0 3
STA_F5 1 F 22.6179 18.3348 6.7059 0 3
STA_F6 1 F 15.0325 8.9946 6.0068 0 3
STA_F7 1 F 15.2705 14.2662 5.8023 0 3
STA_F8 1 F 8.996 13.8906 7.1905 0 3
STA_F9 1 F 23.3927 10.0648 3.6741 0 3
AP_G 0 G 31.25 15.0 9.7757 0 7
STA_G1 1 G 29.6904 16.9417 3.9569 0 7
STA_G2 1 G 31.4656 21.7971 9.0552 0 7
STA_G3 1 G 28.5318 18.3845 7.8466 0 7
STA_G4 1 G 30.4624 5.8955 7.0322 0 7
STA_G5 1 G 30.7373 7.4861 6.804 0 7
STA_G6 1 G 34.903 12.593 4.245 0 7
STA_G7 1 G 29.6696 15.0917 8.0768 0 7
STA_G8 1 G 35.1513 22.2746 9.1452 0 7
STA_G9 1 G 30.8764 8.9417 7.6171 0 7
STA_G10 1 G 37.4765 18.6667 9.7423 0 7
STA_G11 1 G 28.2396 9.1895 8.4172 0 7
STA_G12 1 G 36.1646 14.8407 6.4711 0 7
AP_H 0 H 43.75 15.0 9.31 4 5
STA_H1 1 H 49.3469 15.3114 8.5804 4 5
STA_H2 1 H 44.6393 12.4966 6.7911 4 5
STA_H3 1 H 43.2196 22.7037 5.0783 4 5
STA_H4 1 H 40.7683 16.6039 6.24 4 5
STA_H5 1 H 46.6651 18.3064 6.4944 4 5
STA_H6 1 H 40.3448 19.6176 6.9361 4 5
STA_H7 1 H 44.5252 11.5407 8.3673 4 5
STA_H8 1 H 47.4026 21.4177 9.9733 4 5
STA_H9 1 H 37.0744 10.3852 7.0608 4 5
STA_H10 1 H 39.5762 9.6884 3.2236 4 5
STA_H11 1 H 49.8225 9.1338 5.7856 4 5
STA_H12 1 H 44.9442 20.2594 9.0543 4 5
STA_H13 1 H 36.357 9.1366 4.0809 4 5
STA_H14 1 H 34.7957 12.3839 5.0905 4 5
STA_H15 1 H 42.875 12.838 3.2202 4 5
STA_H16 1 H 48.932 8.0047 3.8506 4 5
STA_H17 1 H 47.8209 21.1124 6.1516 4 5
STA_H18 1 H 50.2085 21.7406 4.9246 4 5
STA_H19 1 H 37.7298 11.1809 4.9698 4 5
STA_H20 1 H 37.4445 11.9706 8.8011 4 5
