node_code node_type wlan_code x(m) y(m) z(m) min_channel_allowed max_channel_allowed
AP_A 0 A 6.25 5.0 3.6288 0 7
STA_A1 1 A -2.0671 3.2275 9.9983 0 7
STA_A2 1 A 2.8519 6.7068 8.1737 0 7
STA_A3 1 A 11.3469 -2.1333 5.7643 0 7
STA_A4 1 A 2.9921 9.9105 3.4562 0 7
STA_A5 1 A 3.7402 4.7337 5.0156 0 7
STA_A6 1 A 6.2261 11.2585 3.4279 0 7
STA_A7 1 A -0.4086 -1.7504 8.4559 0 7
STA_A8 1 A 12.8428 8.8481 8.398 0 7
STA_A9 1 A 8.11 3.6726 6.6407 0 7
STA_A10 1 A 11.9888 12.2978 8.1296 0 7
STA_A11 1 A 3.7956 7.0825 4.0723 0 7
STA_A12 1 A 3.0546 5.1229 7.1642 0 7
STA_A13 1 A -1.1876 0.756 3.9193 0 7
STA_A14 1 A 9.8905 13.9032 8.3344 0 7
STA_A15 1 A 7.2484 -1.1998 9.8358 0 7
STA_A16 1 A 0.3659 7.9438 6.3704 0 7
STA_A17 1 A 3.4609 0.134 9.3845 0 7
STA_A18 1 A 2.6147 9.2643 6.8843 0 7
STA_A19 1 A 13.5293 8.8942 5.1934 0 7
AP_B 0 B 18.75 5.0 5.6299 2 3
STA_B1 1 B 10.0147 1.2254 6.1521 2 3
STA_B2 1 B 16.0121 12.7302 5.1653 2 3
STA_B3 1 B 26.6505 10.4803 5.9643 2 3
STA_B4 1 B 23.3688 6.4017 8.9062 2 3
STA_B5 1 B 26.0173 11.0772 9.1498 2 3
STA_B6 1 B 19.2057 -0.1141 3.2639 2 3
STA_B7 1 B 24.0396 10.2847 5.6179 2 3
STA_B8 1 B 15.7131 3.5568 5.104 2 3
STA_B9 1 B 22.3215 5.4334 6.3311 2 3
STA_B10 1 B 15.6201 -3.3438 8.5457 2 3
STA_B11 1 B 11.3271 3.0538 4.4272 2 3
STA_B12 1 B 14.901 6.2551 8.443 2 3
STA_B13 1 B 20.9905 2.4261 8.2689 2 3
STA_B14 1 B 25.4451 -1.6719 4.5173 2 3
STA_B15 1 B 18.9803 1.3029 5.0909 2 3
STA_B16 1 B 22.3079 9.2316 9.1636 2 3
AP_C 0 C 31.25 5.0 4.1171 0 7
STA_C1 1 C 32.9294 2.3918 7.0168 0 7
STA_C2 1 C 31.9505 12.8129 7.0506 0 7
STA_C3 1 C 24.58 11.2939 9.0218 0 7
STA_C4 1 C 27.5185 2.8579 3.2449 0 7
STA_C5 1 C 40.8743 2.8328 4.2348 0 7
STA_C6 1 C 38.441 2.8261 8.9175 0 7
STA_C7 1 C 23.7328 10.7852 8.3784 0 7
STA_C8 1 C 39.1392 7.7705 6.918 0 7
STA_C9 1 C 34.1587 9.6076 7.8122 0 7
STA_C10 1 C 30.5997 6.7823 8.7234 0 7
STA_C11 1 C 26.1684 8.8122 3.7611 0 7
STA_C12 1 C 33.4284 -4.0141 3.2435 0 7
STA_C13 1 C 26.0644 -0.511 9.2882 0 7
STA_C14 1 C 35.0338 2.5473 8.8462 0 7
STA_C15 1 C 33.3065 4.694 8.7982 0 7
STA_C16 1 C 30.1483 -0.9163 3.199 0 7
STA_C17 1 C 35.0404 -0.7999 6.5582 0 7
STA_C18 1 C 37.3479 -2.4702 5.2211 0 7
AP_D 0 D 43.75 5.0 6.0898 0 1
STA_D1 1 D 37.6792 0.6908 3.5636 0 1
STA_D2 1 D 48.877 -0.2929 7.9235 0 1
STA_D3 1 D 44.5426 -3.3526 3.4598 0 1
STA_D4 1 D 35.5344 0.8469 6.0958 0 1
STA_D5 1 D 51.5324 4.7109 7.4571 0 1
STA_D6 1 D 44.0992 0.0789 3.3347 0 1
STA_D7 1 D 44.1165 0.9602 9.3477 0 1
STA_D8 1 D 36.2157 8.4287 7.8838 0 1
STA_D9 1 D 43.1799 -4.7543 4.6869 0 1
STA_D10 1 D 43.4293 7.0307 5.8388 0 1
STA_D11 1 D 47.7725 11.8301 4.0544 0 1
STA_D12 1 D 42.1243 -2.5982 5.7709 0 1
STA_D13 1 D 38.6179 -3.0036 8.0505 0 1
STA_D14 1 D 35.6263 8.6921 8.6021 0 1
STA_D15 1 D 47.5351 4.6143 7.6813 0 1
STA_D16 1 D 50.1341 5.8839 4.2397 0 1
STA_D17 1 D 43.5715 0.4681 5.6102 0 1
STA_D18 1 D 46.6539 -4.2162 7.3779 0 1
AP_E 0 E 6.25 15.0 9.8889 0 1
STA_E1 1 E 4.2646 11.2966 6.9189 0 1
STA_E2 1 E 4.1325 7.0166 5.6095 0 1
STA_E3 1 E 5.4296 23.0752 8.7589 0 1
STA_E4 1 E -1.6371 12.6094 4.3042 0 1
STA_E5 1 E 14.4444 17.2788 4.3771 0 1
STA_E6 1 E 4.4079 16.4952 9.8112 0 1
STA_E7 1 E 6.3721 10.8363 3.0697 0 1
STA_E8 1 E 4.2291 24.0345 6.2228 0 1
AP_F 0 F 18.75 15.0 6.0906 0 3
STA_F1 1 F 17.8883 21.7393 8.7798 0 3
STA_F2 1 F 11.856 16.7261 3.3414 0 3
STA_F3 1 F 23.9404 13.5713 6.0126 0 3
STA_F4 1 F 21.0073 8.2187 6.8991 0 3
STA_F5 1 F 24.238 10.798 7.2141 0 3
STA_F6 1 F 17.8856 9.2201 3.1937 0 3
STA_F7 1 F 19.8915 7.9186 5.4984 0 3
STA_F8 1 F 24.2366 15.5684 6.7525 0 3
STA_F9 1 F 17.4563 6.2257 8.8686 0 3
AP_G 0 G 31.25 15.0 5.7591 0 7
STA_G1 1 G 36.0421 19.2599 3.0704 0 7
STA_G2 1 G 38.6921 20.2527 5.6357 0 7
STA_G3 1 G 38.0959 15.257 9.8174 0 7
STA_G4 1 G 37.1668 17.0921 9.2085 0 7
STA_G5 1 G 33.2857 22.018 8.8359 0 7
STA_G6 1 G 40.0938 14.4483 6.8317 0 7
STA_G7 1 G 36.628 11.8646 5.1693 0 7
STA_G8 1 G 25.4236 18.8381 7.328 0 7
STA_G9 1 G 36.5856 17.9416 6.9607 0 7
STA_G10 1 G 34.3804 19.9197 6.7224 0 7
STA_G11 1 G 30.9962 21.8847 8.7531 0 7
STA_G12 1 G 34.044 21.1701 9.5269 0 7
AP_H 0 H 43.75 15.0 7.9341 0 3
STA_H1 1 H 36.4809 15.0876 9.17 0 3
STA_H2 1 H 34.2702 13.0471 4.8081 0 3
STA_H3 1 H 50.2042 22.3543 3.3325 0 3
STA_H4 1 H 40.7487 6.2863 4.8789 0 3
STA_H5 1 H 47.9538 12.3806 3.8594 0 3
STA_H6 1 H 44.2305 10.0199 6.4518 0 3
STA_H7 1 H 46.8287 10.5044 6.8214 0 3
STA_H8 1 H 38.1401 13.4481 7.565 0 3
STA_H9 1 H 41.4613 22.583 9.0793 0 3
STA_H10 1 H 50.6723 16.4195 8.4198 0 3
STA_H11 1 H 45.1446 11.0543 6.4423 0 3
STA_H12 1 H 42.2269 9.8809 6.8431 0 3
STA_H13 1 H 46.44 10.3117 3.8558 0 3
STA_H14 1 H 41.8222 22.7751 8.6524 0 3
