Inf,-69.60,-85.20,-98.53,-68.30,-74.53,-90.44,-103.01;
-69.60,Inf,-69.50,-85.20,-75.01,-65.46,-77.29,-90.46;
-85.20,-69.50,Inf,-69.59,-88.01,-74.44,-68.67,-77.88;
-98.53,-85.20,-69.59,Inf,-99.95,-87.34,-77.29,-68.73;
-68.30,-75.01,-88.01,-99.95,Inf,-70.19,-88.58,-101.51;
-74.53,-65.46,-74.44,-87.34,-70.19,Inf,-72.38,-88.28;
-87.43,-74.28,-65.66,-74.28,-85.57,-69.37,Inf,-72.65;
-100.00,-87.45,-74.87,-65.72,-98.50,-85.27,-72.65,Inf
Inf,-69.60,-85.20,-98.53,-68.30,-74.53,-90.44,-103.01;
-69.60,Inf,-69.50,-85.20,-75.01,-65.46,-77.29,-90.46;
-85.20,-69.50,Inf,-69.59,-88.01,-74.44,-68.67,-77.88;
-98.53,-85.20,-69.59,Inf,-99.95,-87.34,-77.29,-68.73;
-68.30,-75.01,-88.01,-99.95,Inf,-70.19,-88.58,-101.51;
-74.53,-65.46,-74.44,-87.34,-70.19,Inf,-72.38,-88.28;
-87.43,-74.28,-65.66,-74.28,-85.57,-69.37,Inf,-72.65;
-100.00,-87.45,-74.87,-65.72,-98.50,-85.27,-72.65,Inf
Inf,-69.60,-85.20,-98.53,-68.30,-74.53,-90.44,-103.01;
-69.60,Inf,-69.50,-85.20,-75.01,-65.46,-77.29,-90.46;
-85.20,-69.50,Inf,-69.59,-88.01,-74.44,-68.67,-77.88;
-98.53,-85.20,-69.59,Inf,-99.95,-87.34,-77.29,-68.73;
-68.30,-75.01,-88.01,-99.95,Inf,-70.19,-88.58,-101.51;
-74.53,-65.46,-74.44,-87.34,-70.19,Inf,-72.38,-88.28;
-87.43,-74.28,-65.66,-74.28,-85.57,-69.37,Inf,-72.65;
-100.00,-87.45,-74.87,-65.72,-98.50,-85.27,-72.65,Inf
Inf,-69.60,-85.20,-98.53,-68.30,-74.53,-90.44,-103.01;
-69.60,Inf,-69.50,-85.20,-75.01,-65.46,-77.29,-90.46;
-85.20,-69.50,Inf,-69.59,-88.01,-74.44,-68.67,-77.88;
-98.53,-85.20,-69.59,Inf,-99.95,-87.34,-77.29,-68.73;
-68.30,-75.01,-88.01,-99.95,Inf,-70.19,-88.58,-101.51;
-74.53,-65.46,-74.44,-87.34,-70.19,Inf,-72.38,-88.28;
-87.43,-74.28,-65.66,-74.28,-85.57,-69.37,Inf,-72.65;
-100.00,-87.45,-74.87,-65.72,-98.50,-85.27,-72.65,Inf
Inf,-69.60,-85.20,-98.53,-68.30,-74.53,-90.44,-103.01;
-69.60,Inf,-69.50,-85.20,-75.01,-65.46,-77.29,-90.46;
-85.20,-69.50,Inf,-69.59,-88.01,-74.44,-68.67,-77.88;
-98.53,-85.20,-69.59,Inf,-99.95,-87.34,-77.29,-68.73;
-68.30,-75.01,-88.01,-99.95,Inf,-70.19,-88.58,-101.51;
-74.53,-65.46,-74.44,-87.34,-70.19,Inf,-72.38,-88.28;
-87.43,-74.28,-65.66,-74.28,-85.57,-69.37,Inf,-72.65;
-100.00,-87.45,-74.87,-65.72,-98.50,-85.27,-72.65,Inf
