Inf,-69.82,-85.19,-104.47,-65.57,-74.79,-87.68,-105.81;
-69.82,Inf,-69.86,-91.36,-74.94,-65.48,-74.35,-93.41;
-85.19,-69.86,Inf,-75.39,-87.36,-74.82,-66.85,-80.38;
-98.45,-85.33,-69.37,Inf,-99.79,-87.55,-74.87,-71.54;
-65.57,-74.94,-87.36,-105.81,Inf,-70.65,-85.83,-104.55;
-74.79,-65.48,-74.82,-93.57,-70.65,Inf,-69.38,-91.33;
-87.68,-74.35,-66.85,-80.89,-85.83,-69.38,Inf,-75.85;
-99.79,-87.39,-74.36,-71.54,-98.53,-85.30,-69.83,Inf
Inf,-69.82,-85.19,-104.47,-65.57,-74.79,-87.68,-105.81;
-69.82,Inf,-69.86,-91.36,-74.94,-65.48,-74.35,-93.41;
-85.19,-69.86,Inf,-75.39,-87.36,-74.82,-66.85,-80.38;
-98.45,-85.33,-69.37,Inf,-99.79,-87.55,-74.87,-71.54;
-65.57,-74.94,-87.36,-105.81,Inf,-70.65,-85.83,-104.55;
-74.79,-65.48,-74.82,-93.57,-70.65,Inf,-69.38,-91.33;
-87.68,-74.35,-66.85,-80.89,-85.83,-69.38,Inf,-75.85;
-99.79,-87.39,-74.36,-71.54,-98.53,-85.30,-69.83,Inf
Inf,-69.82,-85.19,-104.47,-65.57,-74.79,-87.68,-105.81;
-69.82,Inf,-69.86,-91.36,-74.94,-65.48,-74.35,-93.41;
-85.19,-69.86,Inf,-75.39,-87.36,-74.82,-66.85,-80.38;
-98.45,-85.33,-69.37,Inf,-99.79,-87.55,-74.87,-71.54;
-65.57,-74.94,-87.36,-105.81,Inf,-70.65,-85.83,-104.55;
-74.79,-65.48,-74.82,-93.57,-70.65,Inf,-69.38,-91.33;
-87.68,-74.35,-66.85,-80.89,-85.83,-69.38,Inf,-75.85;
-99.79,-87.39,-74.36,-71.54,-98.53,-85.30,-69.83,Inf
Inf,-69.82,-85.19,-104.47,-65.57,-74.79,-87.68,-105.81;
-69.82,Inf,-69.86,-91.36,-74.94,-65.48,-74.35,-93.41;
-85.19,-69.86,Inf,-75.39,-87.36,-74.82,-66.85,-80.38;
-98.45,-85.33,-69.37,Inf,-99.79,-87.55,-74.87,-71.54;
-65.57,-74.94,-87.36,-105.81,Inf,-70.65,-85.83,-104.55;
-74.79,-65.48,-74.82,-93.57,-70.65,Inf,-69.38,-91.33;
-87.68,-74.35,-66.85,-80.89,-85.83,-69.38,Inf,-75.85;
-99.79,-87.39,-74.36,-71.54,-98.53,-85.30,-69.83,Inf
Inf,-69.82,-85.19,-104.47,-65.57,-74.79,-87.68,-105.81;
-69.82,Inf,-69.86,-91.36,-74.94,-65.48,-74.35,-93.41;
-85.19,-69.86,Inf,-75.39,-87.36,-74.82,-66.85,-80.38;
-98.45,-85.33,-69.37,Inf,-99.79,-87.55,-74.87,-71.54;
-65.57,-74.94,-87.36,-105.81,Inf,-70.65,-85.83,-104.55;
-74.79,-65.48,-74.82,-93.57,-70.65,Inf,-69.38,-91.33;
-87.68,-74.35,-66.85,-80.89,-85.83,-69.38,Inf,-75.85;
-99.79,-87.39,-74.36,-71.54,-98.53,-85.30,-69.83,Inf
